,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,44,05:05,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,305
45,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,45,05:05,,,,,"SUB IN by BALLARD,AMI",,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,305
46,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,46,05:05,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,305
47,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,47,05:05,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,305
48,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,48,05:05,,,,,"SUB OUT by WILSON,KATHLEEN",,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,305
49,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,49,05:05,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,305
50,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,50,05:05,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,305
51,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,51,05:05,,,,,"SUB OUT by WALDO,SARAH",,,"SUB OUT by WALDO,SARAH",1,subbing out,,Centre,sarah waldo,,305
52,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,52,05:03,"MISS JUMPER by OLSEN,EMILEE",,,,,,,"MISS JUMPER by OLSEN,EMILEE",1,jumper,missed,birmingham southern,emilee olsen,,303
53,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,53,--,,,,,"REBOUND DEF by FEE,MIKAYLA",,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
