,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,ROCKFORD,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,35,06:57,,5 (+1),,4,"GOOD FT by KEY,TAJANAE",ROCKFORD 5-4 (+1),,"GOOD FT by KEY,TAJANAE",1,free throw,good,rockford university,tajanae key,1,417
36,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,36,06:57,,5,,5,"GOOD FT by KEY,TAJANAE",ROCKFORD 5-5 (0),,"GOOD FT by KEY,TAJANAE",1,free throw,good,rockford university,tajanae key,1,417
37,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,37,06:57,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,417
38,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,38,06:57,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,417
39,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,39,06:57,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,417
40,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,40,06:57,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,417
41,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,41,06:57,,,,,"SUB IN by PETTIT,CASEY",,,"SUB IN by PETTIT,CASEY",1,subbing in,,rockford university,casey pettit,,417
42,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,42,06:57,,,,,"SUB IN by REED,VIRGINIA",,,"SUB IN by REED,VIRGINIA",1,subbing in,,rockford university,virginia reed,,417
43,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,43,06:57,,,,,"SUB OUT by KELLER,LINZY",,,"SUB OUT by KELLER,LINZY",1,subbing out,,rockford university,linzy keller,,417
44,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,44,06:57,,,,,"SUB OUT by HART,KATIE",,,"SUB OUT by HART,KATIE",1,subbing out,,rockford university,katie hart,,417
45,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,45,06:51,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,411
46,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,46,06:51,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,411
47,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,47,06:21,"MISS JUMPER by WILSON,KATHLEEN",,,,,,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,381
48,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,48,--,,,,,"REBOUND DEF by KEY,TAJANAE",,,"REBOUND DEF by KEY,TAJANAE",1,defensive rebound,,rockford university,tajanae key,,
49,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,49,06:10,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,370
50,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,50,06:10,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,370
51,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,51,06:02,,5,,8 (+3),"GOOD 3PTR by SILVERS,NICOLE",ROCKFORD 5-8 (-3),,"GOOD 3PTR by SILVERS,NICOLE",1,three pointer,good,rockford university,nicole silvers,3,362
52,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,52,--,,,,,"ASSIST  by REED,VIRGINIA",,,"ASSIST  by REED,VIRGINIA",1,assist,,rockford university,virginia reed,,
53,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,53,05:35,"MISS 3PTR by FEE,MIKAYLA",,,,,,,"MISS 3PTR by FEE,MIKAYLA",1,three pointer,missed,Centre,mikayla fee,,335
54,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,54,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,rockford university,,,
55,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,55,05:35,,,,,"SUB IN by TERRY,KAYLYNNE",,,"SUB IN by TERRY,KAYLYNNE",1,subbing in,,rockford university,kaylynne terry,,335
56,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,56,05:35,,,,,"SUB OUT by RUSSELL,SAMMI",,,"SUB OUT by RUSSELL,SAMMI",1,subbing out,,rockford university,sammi russell,,335
57,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,57,05:26,,5,,10 (+5),"GOOD LAYUP by TERRY,KAYLYNNE(in the paint)",ROCKFORD 5-10 (-5),,"GOOD LAYUP by TERRY,KAYLYNNE(in the paint)",1,layup,good,rockford university,kaylynne terry,2,326
58,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,58,05:06,"TURNOVER  by BUNNER,CHEYENNE",,,,,,,"TURNOVER  by BUNNER,CHEYENNE",1,turnover,,Centre,cheyenne bunner,,306
59,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,59,05:03,,,,,"STEAL  by SILVERS,NICOLE",,,"STEAL  by SILVERS,NICOLE",1,steal,,rockford university,,,303
60,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,60,04:49,,,,,"MISS JUMPER by KEY,TAJANAE",,,"MISS JUMPER by KEY,TAJANAE",1,jumper,missed,rockford university,tajanae key,,289
61,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,61,--,"REBOUND DEF by FEE,MIKAYLA",,,,,,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
62,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,62,04:32,"TURNOVER  by BALLARD,AMI",,,,,,,"TURNOVER  by BALLARD,AMI",1,turnover,,Centre,ami ballard,,272
63,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,63,04:22,"FOUL  by FEE,MIKAYLA",,,,,,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,262
64,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,64,04:22,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,262
65,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,65,04:22,"SUB IN by WILSON,KATHLEEN",,,,,,,"SUB IN by WILSON,KATHLEEN",1,subbing in,,Centre,kathleen wilson,,262
66,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,66,04:22,"SUB IN by SCHAD,OLIVIA",,,,,,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,262
67,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,67,04:22,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,262
