,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HXW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
33,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,33,06:53,,,,,"MISS JUMPER by FEE,MIKAYLA",,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,413
34,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,34,--,"REBOUND DEF by PROWSE,HEATHER",,,,,,,"REBOUND DEF by PROWSE,HEATHER",1,defensive rebound,,hendrix,heather prowse,,
35,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,35,06:34,"GOOD LAYUP by MARTIN,MADISON(in the paint)",7 (+7),,0,,HXW 7-0 (-7),,"GOOD LAYUP by MARTIN,MADISON(in the paint)",1,layup,good,hendrix,madison martin,2,394
36,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,36,--,"ASSIST  by PROWSE,HEATHER",,,,,,,"ASSIST  by PROWSE,HEATHER",1,assist,,hendrix,heather prowse,,
37,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,37,06:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,387
38,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,38,06:27,"SUB IN by ANDERSON,MADDIE",,,,,,,"SUB IN by ANDERSON,MADDIE",1,subbing in,,hendrix,maddie anderson,,387
39,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,39,06:27,"SUB OUT by MARTIN,MADISON",,,,,,,"SUB OUT by MARTIN,MADISON",1,subbing out,,hendrix,madison martin,,387
40,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,40,06:27,,,,,"SUB IN by MARCUM,MADISON",,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,387
41,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,41,06:27,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,387
42,18,hendrix,Hendrix,Centre,45-62,45,62,"16, 9, 9, 11, 45","11, 14, 20, 17, 62",16,9,9,11,45,11,14,20,17,62,12-6 (3-5 SAA),14-5 (6-2 SAA),01/26/18,Lose,92,No Location Recorded,6:00 PM,H,42,06:27,,,,,"SUB IN by BALLARD,AMI",,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,387
