,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HC-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
39,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,39,05:35,,6,,10 (+4),"GOOD LAYUP by TODD,BROOKE(in the paint)",HC-W 6-10 (-4),,"GOOD LAYUP by TODD,BROOKE(in the paint)",1,layup,good,hanover,brooke todd,2,335
40,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,40,05:21,"GOOD JUMPER by WILSON,KAT(in the paint)",8,,10 (+2),,CENTRE-W 8-10 (-2),,"GOOD JUMPER by WILSON,KAT(in the paint)",1,jumper,good,Centre,kat wilson,2,321
41,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,41,05:15,,,,,"TURNOVER  by TODD,BROOKE",,,"TURNOVER  by TODD,BROOKE",1,turnover,,hanover,brooke todd,,315
42,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,42,05:13,"STEAL  by BALLARD,AMI",,,,,,,"STEAL  by BALLARD,AMI",1,steal,,Centre,,,313
43,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,43,05:07,"GOOD LAYUP by BUNNER,CHEYENNE(fastbreak)(in the paint)",10,,10,,CENTRE-W 10-10 (0),,"GOOD LAYUP by BUNNER,CHEYENNE(fastbreak)(in the paint)",1,layup,good,Centre,cheyenne(fastbreak) bunner,2,307
44,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,44,--,"ASSIST  by SCHAD,OLIVIA",,,,,,,"ASSIST  by SCHAD,OLIVIA",1,assist,,Centre,olivia schad,,
45,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,45,04:42,,10,,12 (+2),"GOOD LAYUP by NALL,ALEXIS(in the paint)",HC-W 10-12 (-2),,"GOOD LAYUP by NALL,ALEXIS(in the paint)",1,layup,good,hanover,alexis nall,2,282
46,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,46,--,,,,,"ASSIST  by KALLMEYER,HOLLY",,,"ASSIST  by KALLMEYER,HOLLY",1,assist,,hanover,holly kallmeyer,,
47,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,47,04:31,"TURNOVER  by BALLARD,AMI",,,,,,,"TURNOVER  by BALLARD,AMI",1,turnover,,Centre,ami ballard,,271
48,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,48,04:31,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,271
49,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,49,04:31,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,271
50,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,50,04:31,"SUB OUT by WILSON,KAT",,,,,,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,271
51,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,51,04:31,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,271
52,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,52,04:31,,,,,"SUB IN by HARTMAN,KATIE",,,"SUB IN by HARTMAN,KATIE",1,subbing in,,hanover,katie hartman,,271
53,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,53,04:31,,,,,"SUB IN by WALKER,MACY",,,"SUB IN by WALKER,MACY",1,subbing in,,hanover,macy walker,,271
54,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,54,04:31,,,,,"SUB OUT by KALLMEYER,HOLLY",,,"SUB OUT by KALLMEYER,HOLLY",1,subbing out,,hanover,holly kallmeyer,,271
