,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
49,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,49,04:29,,,,,"SUB IN by STEWART,ABIGAIL",,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,269
50,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,50,04:29,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,269
51,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,51,04:29,,,,,"SUB OUT by BALLARD,AMI",,,"SUB OUT by BALLARD,AMI",1,subbing out,,Centre,ami ballard,,269
52,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,52,04:12,"MISS LAYUP by YOUNG,ALLIE",,,,,,,"MISS LAYUP by YOUNG,ALLIE",1,layup,missed,rhodes,allie young,,252
53,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,53,--,,,,,"REBOUND DEF by WEHBY,ABIGAIL",,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
54,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,54,03:50,,11 (+6),,5,"GOOD 3PTR by MARCUM,MADISON",CENTRE-W 11-5 (-6),,"GOOD 3PTR by MARCUM,MADISON",1,three pointer,good,Centre,madison marcum,3,230
55,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,55,--,,,,,"ASSIST  by WEHBY,ABIGAIL",,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
56,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,56,03:35,"MISS 3PTR by USTICK,JESSIE",,,,,,,"MISS 3PTR by USTICK,JESSIE",1,three pointer,missed,rhodes,jessie ustick,,215
57,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,57,--,"REBOUND OFF by YOUNG,ALLIE",,,,,,,"REBOUND OFF by YOUNG,ALLIE",1,offensive rebound,,rhodes,allie young,,
58,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,58,03:28,,,,,"FOUL  by MARCUM,MADISON",,,"FOUL  by MARCUM,MADISON",1,foul,,Centre,madison marcum,,208
59,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,59,03:28,"SUB IN by LONGACRE,MAYA",,,,,,,"SUB IN by LONGACRE,MAYA",1,subbing in,,rhodes,maya longacre,,208
60,19,rhodes,Rhodes,Centre,74-51,74,51,"9, 19, 20, 26, 74","16, 13, 5, 17, 51",9,19,20,26,74,16,13,5,17,51,13-6 (4-5 SAA),12-7 (5-4 SAA),01/28/18,Win,133,No Location Recorded,1:00 PM,H,60,03:28,"SUB OUT by YOUNG,ALLIE",,,,,,,"SUB OUT by YOUNG,ALLIE",1,subbing out,,rhodes,allie young,,208
