,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,EC-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,35,07:15,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,435
36,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,36,07:04,,,,,"MISS JUMPER by WEISNER,AMY",,,"MISS JUMPER by WEISNER,AMY",1,jumper,missed,earlham college,amy weisner,,424
37,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,37,--,"REBOUND DEF by MARCUM,MADISON",,,,,,,"REBOUND DEF by MARCUM,MADISON",1,defensive rebound,,Centre,madison marcum,,
38,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,38,06:49,"GOOD JUMPER by MARCUM,MADISON(in the paint)",7 (+7),,0,,CENTRE-W 7-0 (+7),,"GOOD JUMPER by MARCUM,MADISON(in the paint)",1,jumper,good,Centre,madison marcum,2,409
39,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,39,06:34,,,,,"MISS 3PTR by FLYNN,MARIAH",,,"MISS 3PTR by FLYNN,MARIAH",1,three pointer,missed,earlham college,mariah flynn,,394
40,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,40,--,"REBOUND DEF by BALLARD,AMI",,,,,,,"REBOUND DEF by BALLARD,AMI",1,defensive rebound,,Centre,ami ballard,,
41,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,41,06:23,"MISS 3PTR by MILLER,LAKKEN",,,,,,,"MISS 3PTR by MILLER,LAKKEN",1,three pointer,missed,Centre,lakken miller,,383
42,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,42,--,,,,,"REBOUND DEF by BOWLING,KAYLA",,,"REBOUND DEF by BOWLING,KAYLA",1,defensive rebound,,earlham college,kayla bowling,,
43,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,43,06:06,,,,,"SUB IN by CURTIS,ZOE",,,"SUB IN by CURTIS,ZOE",1,subbing in,,earlham college,zoe curtis,,366
44,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,44,06:06,,,,,"SUB IN by JOSEPH,KYRA",,,"SUB IN by JOSEPH,KYRA",1,subbing in,,earlham college,kyra joseph,,366
