,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,44,06:47,"MISS LAYUP by MORRIS,TAYLOR",,,,,,,"MISS LAYUP by MORRIS,TAYLOR",1,layup,missed,Centre,taylor morris,,407
45,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,45,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
46,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,46,06:43,"TURNOVER  by HICKS,ELLEN",,,,,,,"TURNOVER  by HICKS,ELLEN",1,turnover,,Centre,ellen hicks,,403
47,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,47,06:43,,,,,"STEAL  by CHARLES,BAILEY",,,"STEAL  by CHARLES,BAILEY",1,steal,,oglethorpe,,,403
48,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,48,06:43,,,,,"MISS LAYUP by CHARLES,BAILEY",,,"MISS LAYUP by CHARLES,BAILEY",1,layup,missed,oglethorpe,bailey charles,,403
49,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,49,--,"REBOUND DEF by HICKS,ELLEN",,,,,,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
50,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,50,06:34,"TURNOVER  by MURRAY,KYLEE",,,,,,,"TURNOVER  by MURRAY,KYLEE",1,turnover,,Centre,kylee murray,,394
51,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,51,06:30,,,,,"STEAL  by CHARLES,BAILEY",,,"STEAL  by CHARLES,BAILEY",1,steal,,oglethorpe,,,390
52,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,52,06:19,,,,,"MISS LAYUP by LEGATE,SAVANNAH",,,"MISS LAYUP by LEGATE,SAVANNAH",1,layup,missed,oglethorpe,savannah legate,,379
53,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,53,--,"REBOUND DEF by HICKS,ELLEN",,,,,,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
