,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
46,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,46,04:58,,,,,"MISS 3PTR by WALTERS,MARY",,,"MISS 3PTR by WALTERS,MARY",1,three pointer,missed,berry,mary walters,,298
47,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,47,--,,,,,"REBOUND OFF by SMITH,MCKENZIE",,,"REBOUND OFF by SMITH,MCKENZIE",1,offensive rebound,,berry,mckenzie smith,,
48,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,48,04:54,,,,,"MISS LAYUP by SMITH,MCKENZIE",,,"MISS LAYUP by SMITH,MCKENZIE",1,layup,missed,berry,mckenzie smith,,294
49,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,49,--,"REBOUND DEF by CHIRICO,PRESLEY",,,,,,,"REBOUND DEF by CHIRICO,PRESLEY",1,defensive rebound,,Centre,presley chirico,,
50,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,50,04:41,"TURNOVER  by CHIRICO,PRESLEY",,,,,,,"TURNOVER  by CHIRICO,PRESLEY",1,turnover,,Centre,presley chirico,,281
51,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,51,04:41,,,,,"STEAL  by WALTERS,MARY",,,"STEAL  by WALTERS,MARY",1,steal,,berry,,,281
52,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,52,04:37,,0,,7 (+7),"GOOD LAYUP by WALTERS,MARY(fastbreak)(in the paint)",BERRY 0-7 (-7),,"GOOD LAYUP by WALTERS,MARY(fastbreak)(in the paint)",1,layup,good,berry,mary(fastbreak) walters,2,277
53,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,53,04:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,277
54,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,54,04:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1,timeout,,Centre,,,277
55,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,55,04:26,"SUB IN by RICE,MADISON",,,,,,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,266
56,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,56,04:26,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,266
57,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,57,04:26,"SUB IN by WILSON,KAT",,,,,,,"SUB IN by WILSON,KAT",1,subbing in,,Centre,kat wilson,,266
58,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,58,04:26,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,266
59,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,59,04:26,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,266
60,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,60,04:26,"SUB OUT by BUNNER,CHEYENNE",,,,,,,"SUB OUT by BUNNER,CHEYENNE",1,subbing out,,Centre,cheyenne bunner,,266
61,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,61,04:26,"SUB OUT by CHIRICO,PRESLEY",,,,,,,"SUB OUT by CHIRICO,PRESLEY",1,subbing out,,Centre,presley chirico,,266
62,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,62,04:26,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,266
63,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,63,04:26,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,266
64,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,64,04:26,"SUB OUT by MILLER,LAKKEN",,,,,,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,266
65,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,65,04:26,,,,,"SUB IN by PARSONS,EVELINE",,,"SUB IN by PARSONS,EVELINE",1,subbing in,,berry,eveline parsons,,266
66,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,66,04:26,,,,,"SUB OUT by CEREZOLA,CHRISTINE",,,"SUB OUT by CEREZOLA,CHRISTINE",1,subbing out,,berry,christine cerezola,,266
67,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,67,04:24,"MISS JUMPER by MARCUM,MADISON",,,,,,,"MISS JUMPER by MARCUM,MADISON",1,jumper,missed,Centre,madison marcum,,264
68,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,68,--,"REBOUND OFF by STEWART,ABIGAIL",,,,,,,"REBOUND OFF by STEWART,ABIGAIL",1,offensive rebound,,Centre,abigail stewart,,
