,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MER,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,35,05:07,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,307
36,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,36,05:04,"MISS LAYUP by GLADWELL,MADISON",,,,,,,"MISS LAYUP by GLADWELL,MADISON",1,layup,missed,meredith,madison gladwell,,304
37,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,37,05:04,,,,,"BLOCK  by FEE,MIKAYLA",,,"BLOCK  by FEE,MIKAYLA",1,block,,Centre,mikayla fee,,304
38,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,38,--,"REBOUND OFF by PACKER,TRINITY",,,,,,,"REBOUND OFF by PACKER,TRINITY",1,offensive rebound,,meredith,trinity packer,,
39,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,39,04:59,"TURNOVER  by PACKER,TRINITY",,,,,,,"TURNOVER  by PACKER,TRINITY",1,turnover,,meredith,trinity packer,,299
40,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,40,04:48,,,,,"MISS 3PTR by WILSON,KATHLEEN",,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,288
41,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,41,--,,,,,"REBOUND OFF by BUNNER,CHEYENNE",,,"REBOUND OFF by BUNNER,CHEYENNE",1,offensive rebound,,Centre,cheyenne bunner,,
42,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,42,04:41,,,,,"TURNOVER  by BUNNER,CHEYENNE",,,"TURNOVER  by BUNNER,CHEYENNE",1,turnover,,Centre,cheyenne bunner,,281
43,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,43,04:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1,timeout,,meredith,,,275
44,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,44,04:35,"SUB IN by HASSELL,JANAH",,,,,,,"SUB IN by HASSELL,JANAH",1,subbing in,,meredith,janah hassell,,275
45,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,45,04:35,"SUB OUT by COLEMAN,CAROLINE",,,,,,,"SUB OUT by COLEMAN,CAROLINE",1,subbing out,,meredith,caroline coleman,,275
46,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,46,04:35,,,,,"SUB IN by STEWART,ABIGAIL",,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,275
47,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,47,04:35,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,275
48,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,48,04:35,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,275
