,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
40,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,40,06:44,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,404
41,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,41,06:44,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,404
42,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,42,06:44,,,,,"SUB IN by VOGEL,SARAH",,,"SUB IN by VOGEL,SARAH",1,subbing in,,hendrix,sarah vogel,,404
43,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,43,06:44,,,,,"SUB IN by WOPPMAN,RACHEL",,,"SUB IN by WOPPMAN,RACHEL",1,subbing in,,hendrix,rachel woppman,,404
44,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,44,06:44,,,,,"SUB OUT by JENKINS,KESSIE",,,"SUB OUT by JENKINS,KESSIE",1,subbing out,,hendrix,kessie jenkins,,404
45,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,45,06:44,,,,,"SUB OUT by ANDERSON,MADDIE",,,"SUB OUT by ANDERSON,MADDIE",1,subbing out,,hendrix,maddie anderson,,404
46,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,46,06:39,"FOUL  by JENNINGS,RACHEL",,,,,,,"FOUL  by JENNINGS,RACHEL",1,foul,,Centre,rachel jennings,,399
47,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,47,06:39,,,,,"TURNOVER  by PRUITT,SERENA",,,"TURNOVER  by PRUITT,SERENA",1,turnover,,hendrix,serena pruitt,,399
48,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,48,06:39,"STEAL  by HICKS,ELLEN",,,,,,,"STEAL  by HICKS,ELLEN",1,steal,,Centre,,,399
49,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,49,06:37,,,,,"FOUL  by MOODY,MACY",,,"FOUL  by MOODY,MACY",1,foul,,hendrix,macy moody,,397
