,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,FCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
48,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,48,05:33,,,,,"SUB OUT by MOSLEY,KELSEY",,,"SUB OUT by MOSLEY,KELSEY",1,subbing out,,ferrum,kelsey mosley,,333
49,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,49,05:05,,,,,"FOUL  by MARTIN,COURTNEY",,,"FOUL  by MARTIN,COURTNEY",1,foul,,ferrum,courtney martin,,305
50,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,50,05:05,"GOOD FT by MORRIS,TAYLOR",12 (+6),,6,,CENTRE-W 12-6 (+6),,"GOOD FT by MORRIS,TAYLOR",1,free throw,good,Centre,taylor morris,1,305
51,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,51,05:05,"GOOD FT by MORRIS,TAYLOR",13 (+7),,6,,CENTRE-W 13-6 (+7),,"GOOD FT by MORRIS,TAYLOR",1,free throw,good,Centre,taylor morris,1,305
52,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,52,05:05,"SUB IN by CHIRICO,PRESLEY",,,,,,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,305
53,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,53,05:05,"SUB OUT by MILLER,LAKKEN",,,,,,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,305
54,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,54,04:49,,,,,"MISS 3PTR by NICHOLS,JESSY",,,"MISS 3PTR by NICHOLS,JESSY",1,three pointer,missed,ferrum,jessy nichols,,289
55,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,55,--,"REBOUND DEF by CHIRICO,PRESLEY",,,,,,,"REBOUND DEF by CHIRICO,PRESLEY",1,defensive rebound,,Centre,presley chirico,,
56,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,56,04:25,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1,timeout,,Centre,,,265
57,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,57,04:07,,,,,"MISS JUMPER by NICHOLS,JESSY",,,"MISS JUMPER by NICHOLS,JESSY",1,jumper,missed,ferrum,jessy nichols,,247
58,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,58,--,"REBOUND DEF by BUNNER,CHEYENNE",,,,,,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
59,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,59,03:57,"TURNOVER  by BUNNER,CHEYENNE",,,,,,,"TURNOVER  by BUNNER,CHEYENNE",1,turnover,,Centre,cheyenne bunner,,237
60,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,60,03:57,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,237
61,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,61,03:57,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,237
62,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,62,03:57,"SUB OUT by MORRIS,TAYLOR",,,,,,,"SUB OUT by MORRIS,TAYLOR",1,subbing out,,Centre,taylor morris,,237
63,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,63,03:57,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,237
64,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,64,03:57,,,,,"SUB IN by WILSON,JASMINE",,,"SUB IN by WILSON,JASMINE",1,subbing in,,ferrum,jasmine wilson,,237
