,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,NCW,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,34,05:03,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,303
35,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,35,05:03,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,303
36,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,36,05:03,,,,,"SUB IN by JENNINGS,RACHEL",,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,303
37,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,37,05:03,"SUB OUT by JOHNSON,KAYLA",,,,,,,"SUB OUT by JOHNSON,KAYLA",1,subbing out,,n.c. wesleyan,kayla johnson,,303
38,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,38,05:03,"SUB OUT by BEST,NYESHA",,,,,,,"SUB OUT by BEST,NYESHA",1,subbing out,,n.c. wesleyan,nyesha best,,303
39,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,39,05:03,"SUB IN by BEST,MYESHA",,,,,,,"SUB IN by BEST,MYESHA",1,subbing in,,n.c. wesleyan,myesha best,,303
40,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,40,05:03,"SUB IN by TAYLOR,KEORRA",,,,,,,"SUB IN by TAYLOR,KEORRA",1,subbing in,,n.c. wesleyan,keorra taylor,,303
41,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,41,04:59,,,,,"MISS JUMPER by HICKS,ELLEN(in the paint)",,,"MISS JUMPER by HICKS,ELLEN(in the paint)",1,jumper,missed,Centre,ellen hicks,,299
42,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,42,--,,,,,"REBOUND OFF by HICKS,ELLEN",,,"REBOUND OFF by HICKS,ELLEN",1,offensive rebound,,Centre,ellen hicks,,
43,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,43,04:52,,,,,"MISS 3PTR by MURRAY,KYLEE",,,"MISS 3PTR by MURRAY,KYLEE",1,three pointer,missed,Centre,kylee murray,,292
44,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,44,--,"REBOUND DEF by WATKINS,MYRA",,,,,,,"REBOUND DEF by WATKINS,MYRA",1,defensive rebound,,n.c. wesleyan,myra watkins,,
45,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,45,04:45,,,,,"FOUL  by HICKS,ELLEN",,,"FOUL  by HICKS,ELLEN",1,foul,,Centre,ellen hicks,,285
46,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,46,04:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1,timeout,,n.c. wesleyan,,,285
47,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,47,04:45,"MISS FT by WATKINS,MYRA",,,,,,,"MISS FT by WATKINS,MYRA",1,free throw,missed,n.c. wesleyan,myra watkins,,285
48,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,48,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,n.c. wesleyan,,,
49,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,49,04:45,"MISS FT by WATKINS,MYRA",,,,,,,"MISS FT by WATKINS,MYRA",1,free throw,missed,n.c. wesleyan,myra watkins,,285
50,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,50,--,,,,,"REBOUND DEF by HICKS,ELLEN",,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
51,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,51,04:28,,,,,"MISS 3PTR by WILSON,KAT",,,"MISS 3PTR by WILSON,KAT",1,three pointer,missed,Centre,kat wilson,,268
52,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,52,--,,,,,"REBOUND OFF by WILSON,KAT",,,"REBOUND OFF by WILSON,KAT",1,offensive rebound,,Centre,kat wilson,,
53,1,n-c-wesleyan,N.C. Wesleyan,Centre,60-81,60,81,"14, 8, 19, 19, 60","23, 23, 22, 13, 81",14,8,19,19,60,23,23,22,13,81,0,0,11/17/19,Lose,210,No Location Recorded,0,N,53,04:18,,,,,"TURNOVER  by HICKS,ELLEN(in the paint)",,,"TURNOVER  by HICKS,ELLEN(in the paint)",1,turnover,,Centre,ellen hicks,,258
