,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,CC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,35,07:02,"MISS JUMPER by JOHNSON,DESTINY",,,,,,,"MISS JUMPER by JOHNSON,DESTINY",1,jumper,missed,belhaven,destiny johnson,,422
36,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,36,--,,,,,"REBOUND DEF by HEROLD,PAYTON",,,"REBOUND DEF by HEROLD,PAYTON",1,defensive rebound,,Centre,payton herold,,
37,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,37,06:55,,,,,"TURNOVER  by HICKS,ELLEN",,,"TURNOVER  by HICKS,ELLEN",1,turnover,,Centre,ellen hicks,,415
38,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,38,06:54,"STEAL  by LYLES,KEKE",,,,,,,"STEAL  by LYLES,KEKE",1,steal,,belhaven,,,414
39,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,39,--,"ASSIST  by COLLIER,JANAE",,,,,,,"ASSIST  by COLLIER,JANAE",1,assist,,belhaven,janae collier,,
40,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,40,06:49,"GOOD 3PTR by PAPENBURG,PEYTON(fastbreak)",12 (+5),,7,,BU 12-7 (-5),,"GOOD 3PTR by PAPENBURG,PEYTON(fastbreak)",1,three pointer,good,belhaven,peyton(fastbreak) papenburg,3,409
41,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,41,06:26,,,,,"TURNOVER  by FEE,MIKAYLA",,,"TURNOVER  by FEE,MIKAYLA",1,turnover,,Centre,mikayla fee,,386
42,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,42,06:24,"STEAL  by COLLIER,JANAE",,,,,,,"STEAL  by COLLIER,JANAE",1,steal,,belhaven,,,384
43,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,43,06:22,,,,,"MISS LAYUP by ROBERTS,BRIANNA",,,"MISS LAYUP by ROBERTS,BRIANNA",1,layup,missed,Centre,brianna roberts,,382
44,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,44,--,,,,,"REBOUND OFF by THACKER,JOSIE",,,"REBOUND OFF by THACKER,JOSIE",1,offensive rebound,,Centre,josie thacker,,
45,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,45,06:22,,,,,"FOUL  by MURRAY,KYLEE",,,"FOUL  by MURRAY,KYLEE",1,foul,,Centre,kylee murray,,382
46,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,46,06:22,"MISS FT by JOHNSON,DESTINY",,,,,,,"MISS FT by JOHNSON,DESTINY",1,free throw,missed,belhaven,destiny johnson,,382
47,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,47,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
48,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,48,06:22,"GOOD FT by JOHNSON,DESTINY",13 (+6),,7,,BU 13-7 (-6),,"GOOD FT by JOHNSON,DESTINY",1,free throw,good,belhaven,destiny johnson,1,382
49,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,49,06:22,"SUB IN by MARTIN,SYDNEY",,,,,,,"SUB IN by MARTIN,SYDNEY",1,subbing in,,belhaven,sydney martin,,382
50,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,50,06:22,"SUB OUT by JOHNSON,DESTINY",,,,,,,"SUB OUT by JOHNSON,DESTINY",1,subbing out,,belhaven,destiny johnson,,382
51,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,51,06:22,,,,,"SUB IN by MARCUM,MADISON",,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,382
52,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,52,06:22,,,,,"SUB IN by WILSON,KAT",,,"SUB IN by WILSON,KAT",1,subbing in,,Centre,kat wilson,,382
