,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Han,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
45,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,45,--,,,,,"REBOUND DEF by WILSON,KAT",,,"REBOUND DEF by WILSON,KAT",1,defensive rebound,,Centre,kat wilson,,
46,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,46,04:53,,,,,"MISS JUMPER by HEROLD,PAYTON(in the paint)",,,"MISS JUMPER by HEROLD,PAYTON(in the paint)",1,jumper,missed,Centre,payton herold,,293
47,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,47,--,"REBOUND DEF by HARTMAN,KATIE",,,,,,,"REBOUND DEF by HARTMAN,KATIE",1,defensive rebound,,hanover,katie hartman,,
48,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,48,04:35,"GOOD 3PTR by HARTMAN,KATIE",8,,10 (+2),,Han 8-10 (+2),,"GOOD 3PTR by HARTMAN,KATIE",1,three pointer,good,hanover,katie hartman,3,275
49,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,49,--,"ASSIST  by BAUER,ANNA",,,,,,,"ASSIST  by BAUER,ANNA",1,assist,,hanover,anna bauer,,
50,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,50,04:14,,8,,13 (+5),"GOOD 3PTR by WILSON,KAT",Centre 8-13 (+5),,"GOOD 3PTR by WILSON,KAT",1,three pointer,good,Centre,kat wilson,3,254
51,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,51,--,,,,,"ASSIST  by THACKER,JOSIE",,,"ASSIST  by THACKER,JOSIE",1,assist,,Centre,josie thacker,,
52,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,52,03:55,"MISS JUMPER by TODD,BROOKE(in the paint)",,,,,,,"MISS JUMPER by TODD,BROOKE(in the paint)",1,jumper,missed,hanover,brooke todd,,235
53,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,53,--,,,,,"REBOUND DEF by FEE,MIKAYLA",,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
54,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,54,03:46,,,,,"MISS JUMPER by WILSON,KAT",,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,226
55,6,hanover,Hanover,Centre,74-61,74,61,"15, 13, 22, 24, 74","16, 14, 13, 18, 61",15,13,22,24,74,16,14,13,18,61,"3-3,0-0 SAA","1-3,0-0 HCAC",11/30/19,Win,92,No Location Recorded,4:00 PM,H,55,--,,,,,"REBOUND OFF by FEE,MIKAYLA",,,"REBOUND OFF by FEE,MIKAYLA",1,offensive rebound,,Centre,mikayla fee,,
