,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,DYC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,44,--,"REBOUND OFF by THACKER,JOSIE",,,,,,,"REBOUND OFF by THACKER,JOSIE",1,offensive rebound,,Centre,josie thacker,,
45,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,45,06:19,,,,,"FOUL  by KIRISITS,HALEY",,,"FOUL  by KIRISITS,HALEY",1,foul,,d'youville,haley kirisits,,379
46,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,46,06:19,,,,,"SUB OUT by KIRISITS,HALEY",,,"SUB OUT by KIRISITS,HALEY",1,subbing out,,d'youville,haley kirisits,,379
47,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,47,06:19,,,,,"SUB IN by CARPENTER,KELSEY",,,"SUB IN by CARPENTER,KELSEY",1,subbing in,,d'youville,kelsey carpenter,,379
48,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,48,06:16,"MISS 3PTR by WILSON,KAT",,,,,,,"MISS 3PTR by WILSON,KAT",1,three pointer,missed,Centre,kat wilson,,376
49,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,49,--,,,,,"REBOUND DEF by HORE,DANIELLE",,,"REBOUND DEF by HORE,DANIELLE",1,defensive rebound,,d'youville,danielle hore,,
50,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,50,05:58,,,,,"TURNOVER  by MCKEONE,BRIGID(in the paint)",,,"TURNOVER  by MCKEONE,BRIGID(in the paint)",1,turnover,,d'youville,brigid mckeone,,358
51,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,51,05:36,,,,,"FOUL  by CARPENTER,KELSEY",,,"FOUL  by CARPENTER,KELSEY",1,foul,,d'youville,kelsey carpenter,,336
52,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,52,05:36,"GOOD FT by FEE,MIKAYLA",8 (+8),,0,,CEN 8-0 (+8),,"GOOD FT by FEE,MIKAYLA",1,free throw,good,Centre,mikayla fee,1,336
53,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,53,05:36,"GOOD FT by FEE,MIKAYLA",9 (+9),,0,,CEN 9-0 (+9),,"GOOD FT by FEE,MIKAYLA",1,free throw,good,Centre,mikayla fee,1,336
54,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,54,05:36,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,336
55,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,55,05:36,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,336
