,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
33,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,33,05:13,,,,,"MISS JUMPER by WALLER,RAQUEL",,,"MISS JUMPER by WALLER,RAQUEL",1,jumper,missed,sewanee,raquel waller,,313
34,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,34,--,"REBOUND DEF by MURRAY,KYLEE",,,,,,,"REBOUND DEF by MURRAY,KYLEE",1,defensive rebound,,Centre,kylee murray,,
35,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,35,05:00,"TURNOVER  by HICKS,ELLEN",,,,,,,"TURNOVER  by HICKS,ELLEN",1,turnover,,Centre,ellen hicks,,300
36,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,36,05:00,,,,,"SUB IN by STEWART,ASHLEY",,,"SUB IN by STEWART,ASHLEY",1,subbing in,,sewanee,ashley stewart,,300
37,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,37,05:00,,,,,"SUB OUT by WALLER,RAQUEL",,,"SUB OUT by WALLER,RAQUEL",1,subbing out,,sewanee,raquel waller,,300
38,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,38,04:40,,12 (+4),,8,"GOOD 3PTR by TREANTON,ELLIE",SEWANEE 12-8 (+4),,"GOOD 3PTR by TREANTON,ELLIE",1,three pointer,good,sewanee,ellie treanton,3,280
39,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,39,04:19,"MISS LAYUP by HICKS,ELLEN",,,,,,,"MISS LAYUP by HICKS,ELLEN",1,layup,missed,Centre,ellen hicks,,259
40,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,40,--,"REBOUND OFF by HICKS,ELLEN",,,,,,,"REBOUND OFF by HICKS,ELLEN",1,offensive rebound,,Centre,ellen hicks,,
41,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,41,04:09,"MISS 3PTR by JENNINGS,RACHEL",,,,,,,"MISS 3PTR by JENNINGS,RACHEL",1,three pointer,missed,Centre,rachel jennings,,249
42,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,42,--,"REBOUND OFF by HICKS,ELLEN",,,,,,,"REBOUND OFF by HICKS,ELLEN",1,offensive rebound,,Centre,ellen hicks,,
43,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,43,04:02,,,,,"FOUL  by YOUNG,ABBY",,,"FOUL  by YOUNG,ABBY",1,foul,,sewanee,abby young,,242
