,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,34,05:15,,,,,"FOUL  by MURRAY,KYLEE",,,"FOUL  by MURRAY,KYLEE",1,foul,,Centre,kylee murray,,315
35,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,35,05:15,,,,,"SUB OUT by WILSON,KAT",,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,315
36,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,36,05:15,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,315
37,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,37,05:15,,,,,"SUB IN by ROBERTS,BRIANNA",,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,315
38,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,38,05:15,,,,,"SUB IN by THACKER,JOSIE",,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,315
39,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,39,05:15,"GOOD FT by WILSON,ANNA",7 (+4),,3,,Mill 7-3 (-4),,"GOOD FT by WILSON,ANNA",1,free throw,good,millsaps,anna wilson,1,315
40,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,40,05:15,"GOOD FT by WILSON,ANNA",8 (+5),,3,,Mill 8-3 (-5),,"GOOD FT by WILSON,ANNA",1,free throw,good,millsaps,anna wilson,1,315
41,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,41,05:15,"SUB OUT by CALDWELL,DEVAN",,,,,,,"SUB OUT by CALDWELL,DEVAN",1,subbing out,,millsaps,devan caldwell,,315
42,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,42,05:15,"SUB IN by DONALDSON,MEGAN",,,,,,,"SUB IN by DONALDSON,MEGAN",1,subbing in,,millsaps,megan donaldson,,315
43,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,43,04:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1,timeout,,millsaps,,,291
