,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,47,--,,,,,"REBOUND OFF by FEE,MIKAYLA",,,"REBOUND OFF by FEE,MIKAYLA",1,offensive rebound,,Centre,mikayla fee,,
48,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,48,06:15,,,,,"TURNOVER  by FEE,MIKAYLA",,,"TURNOVER  by FEE,MIKAYLA",1,turnover,,Centre,mikayla fee,,375
49,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,49,06:15,"SUB OUT by WRIGHT,HUNTER",,,,,,,"SUB OUT by WRIGHT,HUNTER",1,subbing out,,spalding,hunter wright,,375
50,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,50,06:15,"SUB OUT by HIRN,MALEAH",,,,,,,"SUB OUT by HIRN,MALEAH",1,subbing out,,spalding,maleah hirn,,375
51,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,51,06:15,"SUB OUT by JUST,ALLISON",,,,,,,"SUB OUT by JUST,ALLISON",1,subbing out,,spalding,allison just,,375
52,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,52,06:15,"SUB IN by REED,KAILEY",,,,,,,"SUB IN by REED,KAILEY",1,subbing in,,spalding,kailey reed,,375
53,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,53,06:15,"SUB IN by POWELL,KENDYL",,,,,,,"SUB IN by POWELL,KENDYL",1,subbing in,,spalding,kendyl powell,,375
54,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,54,06:15,"SUB IN by RENFRO,HANNAH",,,,,,,"SUB IN by RENFRO,HANNAH",1,subbing in,,spalding,hannah renfro,,375
55,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,55,05:58,"TURNOVER  by ANTHONY,BREANNA",,,,,,,"TURNOVER  by ANTHONY,BREANNA",1,turnover,,spalding,breanna anthony,,358
56,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,56,05:58,,,,,"STEAL  by MURRAY,KYLEE",,,"STEAL  by MURRAY,KYLEE",1,steal,,Centre,,,358
57,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,57,05:58,,,,,"SUB OUT by WILSON,KAT",,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,358
58,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,58,05:58,,,,,"SUB IN by HICKS,ELLEN",,,"SUB IN by HICKS,ELLEN",1,subbing in,,Centre,ellen hicks,,358
59,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,59,05:42,,4,,6 (+2),"GOOD JUMPER by FEE,MIKAYLA(in the paint)",Centre 4-6 (+2),,"GOOD JUMPER by FEE,MIKAYLA(in the paint)",1,jumper,good,Centre,mikayla fee,2,342
60,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,60,--,,,,,"ASSIST  by HEROLD,PAYTON",,,"ASSIST  by HEROLD,PAYTON",1,assist,,Centre,payton herold,,
61,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,61,05:42,"FOUL  by ANTHONY,BREANNA",,,,,,,"FOUL  by ANTHONY,BREANNA",1,foul,,spalding,breanna anthony,,342
