,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,34,05:40,,,,,"SUB OUT by TAYLOR,CAROLINE",,,"SUB OUT by TAYLOR,CAROLINE",1,subbing out,,rhodes,caroline taylor,,340
35,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,35,05:40,,,,,"SUB OUT by LONGACRE,MAYA",,,"SUB OUT by LONGACRE,MAYA",1,subbing out,,rhodes,maya longacre,,340
36,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,36,05:40,,,,,"SUB IN by LEE,TAYA",,,"SUB IN by LEE,TAYA",1,subbing in,,rhodes,taya lee,,340
37,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,37,05:40,,,,,"SUB IN by HAGEN,ELLEN",,,"SUB IN by HAGEN,ELLEN",1,subbing in,,rhodes,ellen hagen,,340
38,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,38,05:40,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,340
39,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,39,05:40,"SUB IN by HICKS,ELLEN",,,,,,,"SUB IN by HICKS,ELLEN",1,subbing in,,Centre,ellen hicks,,340
40,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,40,05:37,"MISS JUMPER by WILSON,KAT",,,,,,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,337
41,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,41,--,,,,,"REBOUND DEF by HAGEN,ELLEN",,,"REBOUND DEF by HAGEN,ELLEN",1,defensive rebound,,rhodes,ellen hagen,,
42,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,42,05:20,,,,,"MISS JUMPER by MAYEUX,ALLI(in the paint)",,,"MISS JUMPER by MAYEUX,ALLI(in the paint)",1,jumper,missed,rhodes,alli mayeux,,320
43,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,43,--,,,,,"REBOUND OFF by LEE,TAYA",,,"REBOUND OFF by LEE,TAYA",1,offensive rebound,,rhodes,taya lee,,
44,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,44,05:10,,,,,"MISS LAYUP by LEE,TAYA(in the paint)",,,"MISS LAYUP by LEE,TAYA(in the paint)",1,layup,missed,rhodes,taya lee,,310
45,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,45,--,,,,,"REBOUND OFF by LEE,TAYA",,,"REBOUND OFF by LEE,TAYA",1,offensive rebound,,rhodes,taya lee,,
46,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,46,05:01,,,,,"MISS JUMPER by HAGEN,ELLEN(in the paint)",,,"MISS JUMPER by HAGEN,ELLEN(in the paint)",1,jumper,missed,rhodes,ellen hagen,,301
47,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,47,--,,,,,"REBOUND OFF by OWENS,ALYSSA",,,"REBOUND OFF by OWENS,ALYSSA",1,offensive rebound,,rhodes,alyssa owens,,
48,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,48,04:56,,5,,9 (+4),"GOOD LAYUP by OWENS,ALYSSA(in the paint)",Rhodes 5-9 (-4),,"GOOD LAYUP by OWENS,ALYSSA(in the paint)",1,layup,good,rhodes,alyssa owens,2,296
49,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,49,04:32,"GOOD JUMPER by WEHBY,ABIGAIL(in the paint)",7,,9 (+2),,Centre 7-9 (-2),,"GOOD JUMPER by WEHBY,ABIGAIL(in the paint)",1,jumper,good,Centre,abigail wehby,2,272
50,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,50,04:11,,,,,"MISS JUMPER by MAYEUX,ALLI(in the paint)",,,"MISS JUMPER by MAYEUX,ALLI(in the paint)",1,jumper,missed,rhodes,alli mayeux,,251
51,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,51,--,"REBOUND DEF by MURRAY,KYLEE",,,,,,,"REBOUND DEF by MURRAY,KYLEE",1,defensive rebound,,Centre,kylee murray,,
52,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,52,03:55,"MISS 3PTR by HEROLD,PAYTON",,,,,,,"MISS 3PTR by HEROLD,PAYTON",1,three pointer,missed,Centre,payton herold,,235
53,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,53,--,,,,,"REBOUND DEF by LEE,TAYA",,,"REBOUND DEF by LEE,TAYA",1,defensive rebound,,rhodes,taya lee,,
54,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,54,03:39,,,,,"MISS JUMPER by MAYEUX,ALLI(in the paint)",,,"MISS JUMPER by MAYEUX,ALLI(in the paint)",1,jumper,missed,rhodes,alli mayeux,,219
55,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,55,--,"REBOUND DEF by WILSON,KAT",,,,,,,"REBOUND DEF by WILSON,KAT",1,defensive rebound,,Centre,kat wilson,,
56,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,56,03:23,"GOOD 3PTR by WILSON,KAT",10 (+1),,9,,Centre 10-9 (+1),,"GOOD 3PTR by WILSON,KAT",1,three pointer,good,Centre,kat wilson,3,203
57,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,57,03:02,,,,,"MISS JUMPER by OWENS,ALYSSA(in the paint)",,,"MISS JUMPER by OWENS,ALYSSA(in the paint)",1,jumper,missed,rhodes,alyssa owens,,182
58,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,58,--,,,,,"REBOUND OFF by LEE,TAYA",,,"REBOUND OFF by LEE,TAYA",1,offensive rebound,,rhodes,taya lee,,
