,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,34,06:20,,4 (+1),,3,"GOOD 3PTR by MARCUM,MADISON",Centre 4-3 (-1),,"GOOD 3PTR by MARCUM,MADISON",1,three pointer,good,Centre,madison marcum,3,380
35,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,35,--,,,,,"ASSIST  by HEROLD,PAYTON",,,"ASSIST  by HEROLD,PAYTON",1,assist,,Centre,payton herold,,
36,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,36,06:06,"GOOD JUMPER by OWENS,ALYSSA(in the paint)",6 (+3),,3,,Rhodes 6-3 (-3),,"GOOD JUMPER by OWENS,ALYSSA(in the paint)",1,jumper,good,rhodes,alyssa owens,2,366
37,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,37,05:34,,,,,"SUB OUT by MARCUM,MADISON",,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,334
38,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,38,05:34,,,,,"SUB IN by THACKER,JOSIE",,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,334
39,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,39,05:34,"SUB OUT by TAYLOR,CAROLINE",,,,,,,"SUB OUT by TAYLOR,CAROLINE",1,subbing out,,rhodes,caroline taylor,,334
40,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,40,05:34,"SUB OUT by LONGACRE,MAYA",,,,,,,"SUB OUT by LONGACRE,MAYA",1,subbing out,,rhodes,maya longacre,,334
41,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,41,05:34,"SUB IN by LEE,TAYA",,,,,,,"SUB IN by LEE,TAYA",1,subbing in,,rhodes,taya lee,,334
42,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,42,05:34,"SUB IN by HAGEN,ELLEN",,,,,,,"SUB IN by HAGEN,ELLEN",1,subbing in,,rhodes,ellen hagen,,334
43,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,43,05:19,,,,,"TURNOVER  by WILSON,KAT",,,"TURNOVER  by WILSON,KAT",1,turnover,,Centre,kat wilson,,319
