,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,centreScorePeriod6,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,opponentScorePeriod6,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,RC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
40,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,40,06:08,"TURNOVER  by JENNINGS,RACHEL",,,,,,,"TURNOVER  by JENNINGS,RACHEL",1,turnover,,Centre,rachel jennings,,368
41,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,41,06:04,,,,,"SUB IN by LEE,TAYA",,,"SUB IN by LEE,TAYA",1,subbing in,,rhodes,taya lee,,364
42,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,42,06:04,,,,,"SUB OUT by LONGACRE,MAYA",,,"SUB OUT by LONGACRE,MAYA",1,subbing out,,rhodes,maya longacre,,364
43,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,43,05:48,,,,,"MISS 3PTR by MAYEUX,ALLI",,,"MISS 3PTR by MAYEUX,ALLI",1,three pointer,missed,rhodes,alli mayeux,,348
44,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,44,--,"REBOUND DEF by HEROLD,PAYTON",,,,,,,"REBOUND DEF by HEROLD,PAYTON",1,defensive rebound,,Centre,payton herold,,
45,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,45,05:23,"MISS 3PTR by MURRAY,KYLEE",,,,,,,"MISS 3PTR by MURRAY,KYLEE",1,three pointer,missed,Centre,kylee murray,,323
46,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,46,--,,,,,"REBOUND DEF by OWENS,ALYSSA",,,"REBOUND DEF by OWENS,ALYSSA",1,defensive rebound,,rhodes,alyssa owens,,
47,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,47,05:14,,8 (+2),,6,"GOOD 3PTR by MAYEUX,ALLI",RC 8-6 (+2),,"GOOD 3PTR by MAYEUX,ALLI",1,three pointer,good,rhodes,alli mayeux,3,314
48,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,48,--,,,,,"ASSIST  by DOWNEY,KIERA",,,"ASSIST  by DOWNEY,KIERA",1,assist,,rhodes,kiera downey,,
49,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,49,04:52,"MISS JUMPER by MURRAY,KYLEE",,,,,,,"MISS JUMPER by MURRAY,KYLEE",1,jumper,missed,Centre,kylee murray,,292
50,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,50,--,,,,,"REBOUND DEF by MAYEUX,ALLI",,,"REBOUND DEF by MAYEUX,ALLI",1,defensive rebound,,rhodes,alli mayeux,,
51,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,51,04:47,"FOUL  by ROBERTS,BRIANNA",,,,,,,"FOUL  by ROBERTS,BRIANNA",1,foul,,Centre,brianna roberts,,287
52,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,52,04:00,"SUB IN by HICKS,ELLEN",,,,,,,"SUB IN by HICKS,ELLEN",1,subbing in,,Centre,ellen hicks,,240
53,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,53,04:00,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,240
54,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,54,04:00,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,240
55,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,55,04:00,"SUB IN by WILSON,KAT",,,,,,,"SUB IN by WILSON,KAT",1,subbing in,,Centre,kat wilson,,240
56,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,56,04:00,"SUB OUT by HEROLD,PAYTON",,,,,,,"SUB OUT by HEROLD,PAYTON",1,subbing out,,Centre,payton herold,,240
57,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,57,04:00,"SUB OUT by ROBERTS,BRIANNA",,,,,,,"SUB OUT by ROBERTS,BRIANNA",1,subbing out,,Centre,brianna roberts,,240
58,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,58,04:00,"SUB OUT by JENNINGS,RACHEL",,,,,,,"SUB OUT by JENNINGS,RACHEL",1,subbing out,,Centre,rachel jennings,,240
59,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,59,04:00,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,240
60,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,60,03:56,,,,,"MISS 3PTR by OWENS,ALYSSA",,,"MISS 3PTR by OWENS,ALYSSA",1,three pointer,missed,rhodes,alyssa owens,,236
61,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,61,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
62,27,rhodes,Centre,Rhodes,76-81,76,81,"10, 25, 16, 15, 10, 76","13, 14, 19, 20, 15, 81",10,25,16,15,10,76,13,14,19,20,15,81,16-11,17-9,02/29/20,Lose,334,No Location Recorded,6:25 PM,H,62,03:42,"TURNOVER  by WILSON,KAT",,,,,,,"TURNOVER  by WILSON,KAT",1,turnover,,Centre,kat wilson,,222
