,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,MARYMO~2,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,35,06:28,,2,,5 (+3),"GOOD FT by FISHER,ABBY",MARYMO~2 2-5 (-3),,"GOOD FT by FISHER,ABBY",1,free throw,good,marymount,abby fisher,1,388
36,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,36,06:28,,,,,"SUB IN by HADDAD,GABRIELLA",,,"SUB IN by HADDAD,GABRIELLA",1,subbing in,,marymount,gabriella haddad,,388
37,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,37,06:28,,,,,"SUB IN by PHILLIPS,AIDAN",,,"SUB IN by PHILLIPS,AIDAN",1,subbing in,,marymount,aidan phillips,,388
38,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,38,06:28,,,,,"SUB OUT by RYAN,JULIA",,,"SUB OUT by RYAN,JULIA",1,subbing out,,marymount,julia ryan,,388
39,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,39,06:28,,,,,"SUB OUT by SHACKELFORD,SYMANTHA",,,"SUB OUT by SHACKELFORD,SYMANTHA",1,subbing out,,marymount,symantha shackelford,,388
40,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,40,06:19,"TURNOVER  by JENNINGS,RACHEL",,,,,,,"TURNOVER  by JENNINGS,RACHEL",1,turnover,,Centre,rachel jennings,,379
41,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,41,06:19,,,,,"STEAL  by CLAGGETT,ANANDA",,,"STEAL  by CLAGGETT,ANANDA",1,steal,,marymount,,,379
42,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,42,06:19,"SUB IN by WILSON,KAT",,,,,,,"SUB IN by WILSON,KAT",1,subbing in,,Centre,kat wilson,,379
43,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,43,06:19,"SUB OUT by THACKER,JOSIE",,,,,,,"SUB OUT by THACKER,JOSIE",1,subbing out,,Centre,josie thacker,,379
44,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,44,06:01,,,,,"TURNOVER  by HADDAD,GABRIELLA",,,"TURNOVER  by HADDAD,GABRIELLA",1,turnover,,marymount,gabriella haddad,,361
45,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,45,05:33,"GOOD LAYUP by WILSON,KAT(in the paint)",4,,5 (+1),,CENTRE-W 4-5 (-1),,"GOOD LAYUP by WILSON,KAT(in the paint)",1,layup,good,Centre,kat wilson,2,333
46,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,46,--,"ASSIST  by ROBERTS,BRIANNA",,,,,,,"ASSIST  by ROBERTS,BRIANNA",1,assist,,Centre,brianna roberts,,
47,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,47,05:03,,4,,7 (+3),"GOOD LAYUP by MCSHEA,KATIE(in the paint)",MARYMO~2 4-7 (-3),,"GOOD LAYUP by MCSHEA,KATIE(in the paint)",1,layup,good,marymount,katie mcshea,2,303
48,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,48,--,,,,,"ASSIST  by FISHER,ABBY",,,"ASSIST  by FISHER,ABBY",1,assist,,marymount,abby fisher,,
49,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,49,04:48,"GOOD JUMPER by WILSON,KAT",6,,7 (+1),,CENTRE-W 6-7 (-1),,"GOOD JUMPER by WILSON,KAT",1,jumper,good,Centre,kat wilson,2,288
50,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,50,--,"ASSIST  by ROBERTS,BRIANNA",,,,,,,"ASSIST  by ROBERTS,BRIANNA",1,assist,,Centre,brianna roberts,,
51,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,51,04:30,,6,,9 (+3),"GOOD LAYUP by MCSHEA,KATIE(in the paint)",MARYMO~2 6-9 (-3),,"GOOD LAYUP by MCSHEA,KATIE(in the paint)",1,layup,good,marymount,katie mcshea,2,270
