,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MVCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
49,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,49,06:05,,8 (+4),,4,"GOOD FT by MOORE,LAUREN",CENTRE-W 8-4 (-4),,"GOOD FT by MOORE,LAUREN",1,free throw,good,Centre,lauren moore,1,365
50,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,50,06:05,"SUB IN by BRACKINS,MINDY",,,,,,,"SUB IN by BRACKINS,MINDY",1,subbing in,,maryville (tenn.),mindy brackins,,365
51,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,51,06:05,"SUB IN by HUDGENS,AMBER",,,,,,,"SUB IN by HUDGENS,AMBER",1,subbing in,,maryville (tenn.),amber hudgens,,365
52,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,52,06:05,"SUB IN by GARDNER,LIBBY",,,,,,,"SUB IN by GARDNER,LIBBY",1,subbing in,,maryville (tenn.),libby gardner,,365
53,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,53,06:05,"SUB OUT by HARNESS,CHELSEY",,,,,,,"SUB OUT by HARNESS,CHELSEY",1,subbing out,,maryville (tenn.),chelsey harness,,365
54,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,54,06:05,"SUB OUT by FREIERMUTH,ALLYSON",,,,,,,"SUB OUT by FREIERMUTH,ALLYSON",1,subbing out,,maryville (tenn.),allyson freiermuth,,365
55,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,55,06:05,"SUB OUT by BILITER,LAUREN",,,,,,,"SUB OUT by BILITER,LAUREN",1,subbing out,,maryville (tenn.),lauren biliter,,365
56,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,56,06:05,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,365
57,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,57,06:05,,,,,"SUB OUT by MILLER,LAKKEN",,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,365
58,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,58,05:46,"TURNOVER  by HUDGENS,AMBER",,,,,,,"TURNOVER  by HUDGENS,AMBER",1,turnover,,maryville (tenn.),amber hudgens,,346
