,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,MT. ST.,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,34,07:14,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,434
35,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,35,07:14,,,,,"SUB IN by ELLINGHAUSEN,KIANA",,,"SUB IN by ELLINGHAUSEN,KIANA",1,subbing in,,mt. st. joseph,kiana ellinghausen,,434
36,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,36,07:14,,,,,"SUB IN by BURCHARD,NATALIE",,,"SUB IN by BURCHARD,NATALIE",1,subbing in,,mt. st. joseph,natalie burchard,,434
37,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,37,07:14,,,,,"SUB IN by HUDSON,HAYLEY",,,"SUB IN by HUDSON,HAYLEY",1,subbing in,,mt. st. joseph,hayley hudson,,434
38,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,38,07:14,,,,,"SUB OUT by TOWNSEND,EMILY",,,"SUB OUT by TOWNSEND,EMILY",1,subbing out,,mt. st. joseph,emily townsend,,434
39,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,39,07:14,,,,,"SUB OUT by BROWN,TAYLOR",,,"SUB OUT by BROWN,TAYLOR",1,subbing out,,mt. st. joseph,taylor brown,,434
40,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,40,07:14,,,,,"SUB OUT by WANNEMACHER,KRYSTAL",,,"SUB OUT by WANNEMACHER,KRYSTAL",1,subbing out,,mt. st. joseph,krystal wannemacher,,434
41,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,41,06:57,,,,,"MISS JUMPER by BROWN,TAYLOR",,,"MISS JUMPER by BROWN,TAYLOR",1,jumper,missed,mt. st. joseph,taylor brown,,417
42,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,42,--,"REBOUND DEF by MOORE,LAUREN",,,,,,,"REBOUND DEF by MOORE,LAUREN",1,defensive rebound,,Centre,lauren moore,,
43,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,43,06:48,"MISS JUMPER by KELLAM,PAIGE",,,,,,,"MISS JUMPER by KELLAM,PAIGE",1,jumper,missed,Centre,paige kellam,,408
