,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HUNTW,Away Team Score,Play Team Indicator,Home Team Score,CENW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,47,05:45,"FOUL  by WEATHERSPOON,JELLO",,,,,,,"FOUL  by WEATHERSPOON,JELLO",1,foul,,huntingdon,jello weatherspoon,,345
48,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,48,05:45,"SUB IN by HILL,MAIA",,,,,,,"SUB IN by HILL,MAIA",1,subbing in,,huntingdon,maia hill,,345
49,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,49,05:45,"SUB OUT by WEATHERSPOON,JELLO",,,,,,,"SUB OUT by WEATHERSPOON,JELLO",1,subbing out,,huntingdon,jello weatherspoon,,345
50,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,50,05:31,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,331
51,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,51,05:30,"STEAL  by DORMAN,JENNA",,,,,,,"STEAL  by DORMAN,JENNA",1,steal,,huntingdon,,,330
52,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,52,05:11,"GOOD JUMPER by DORMAN,JENNA(in the paint)",11 (+7),,4,,HUNTW 11-4 (-7),,"GOOD JUMPER by DORMAN,JENNA(in the paint)",1,jumper,good,huntingdon,jenna dorman,2,311
53,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,53,--,"ASSIST  by DUNCAN,TI",,,,,,,"ASSIST  by DUNCAN,TI",1,assist,,huntingdon,ti duncan,,
54,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,54,04:51,"FOUL  by HILL,MAIA",,,,,,,"FOUL  by HILL,MAIA",1,foul,,huntingdon,maia hill,,291
55,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,55,04:51,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1,timeout,,Centre,,,291
56,9,huntingdon,Huntingdon,Centre,55-63,55,63,"12, 12, 12, 19, 55","16, 16, 15, 16, 63",12,12,12,19,55,16,16,15,16,63,2-7,5-1,12/17/16,Lose,117,No Location Recorded,4 p.m.,H,56,04:51,,11 (+6),,5,"GOOD FT by KELLAM,PAIGE",CENW 11-5 (-6),,"GOOD FT by KELLAM,PAIGE",1,free throw,good,Centre,paige kellam,1,291
