,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
49,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,49,--,"REBOUND DEF by MOORE,LAUREN",,,,,,,"REBOUND DEF by MOORE,LAUREN",1,defensive rebound,,Centre,lauren moore,,
50,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,50,04:18,"MISS JUMPER by KELLAM,PAIGE",,,,,,,"MISS JUMPER by KELLAM,PAIGE",1,jumper,missed,Centre,paige kellam,,258
51,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,51,--,"REBOUND OFF by MOORE,LAUREN",,,,,,,"REBOUND OFF by MOORE,LAUREN",1,offensive rebound,,Centre,lauren moore,,
52,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,52,04:15,,,,,"FOUL  by WEEMS,ALEX",,,"FOUL  by WEEMS,ALEX",1,foul,,berry college,alex weems,,255
53,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,53,04:15,"GOOD FT by MOORE,LAUREN",1,,4 (+3),,CENTRE-W 1-4 (-3),,"GOOD FT by MOORE,LAUREN",1,free throw,good,Centre,lauren moore,1,255
54,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,54,04:15,"GOOD FT by MOORE,LAUREN",2,,4 (+2),,CENTRE-W 2-4 (-2),,"GOOD FT by MOORE,LAUREN",1,free throw,good,Centre,lauren moore,1,255
55,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,55,04:15,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,255
56,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,56,04:15,"SUB IN by VANCE,DAY",,,,,,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,255
57,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,57,04:15,"SUB IN by BALLARD,AMI",,,,,,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,255
58,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,58,04:15,"SUB IN by SCHAD,OLIVIA",,,,,,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,255
