,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,DPUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
46,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,46,13:48,"SUB IN by MCGINNIS,ERIN",,,,,,,"SUB IN by MCGINNIS,ERIN",1,subbing in,,depauw university,erin mcginnis,,828
47,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,47,13:48,"SUB IN by HOWARD,TAYLOR",,,,,,,"SUB IN by HOWARD,TAYLOR",1,subbing in,,depauw university,taylor howard,,828
48,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,48,13:48,"SUB OUT by KELLER,ABBY",,,,,,,"SUB OUT by KELLER,ABBY",1,subbing out,,depauw university,abby keller,,828
49,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,49,13:48,"SUB OUT by STEPHENS,ALISON",,,,,,,"SUB OUT by STEPHENS,ALISON",1,subbing out,,depauw university,alison stephens,,828
50,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,50,13:41,"MISS JUMPER by ROSS,ALI",,,,,,,"MISS JUMPER by ROSS,ALI",1,jumper,missed,depauw university,ali ross,,821
51,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,51,--,"REBOUND OFF by DOUGLAS,HANNAH",,,,,,,"REBOUND OFF by DOUGLAS,HANNAH",1,offensive rebound,,depauw university,hannah douglas,,
52,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,52,13:31,"FOUL  by DOUGLAS,HANNAH",,,,,,,"FOUL  by DOUGLAS,HANNAH",1,foul,,depauw university,hannah douglas,,811
53,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,53,13:31,"SUB IN by ABENDROTH,LAUREN",,,,,,,"SUB IN by ABENDROTH,LAUREN",1,subbing in,,depauw university,lauren abendroth,,811
54,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,54,13:31,"SUB IN by ONDIK,EMMA",,,,,,,"SUB IN by ONDIK,EMMA",1,subbing in,,depauw university,emma ondik,,811
55,4,depauw,DePauw University,Centre College,64-68,64,68,"25, 25, 8, 6, 64","24, 26, 8, 10, 68",25,25,8,6,64,24,26,8,10,68,3-1,4-0,11/23/13,Lose,221,No Location Recorded,3:00 p.m.,H,55,13:31,"SUB OUT by DOUGLAS,HANNAH",,,,,,,"SUB OUT by DOUGLAS,HANNAH",1,subbing out,,depauw university,hannah douglas,,811
