,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MVCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,44,14:37,"SUB OUT by BRACKINS,MINDY",,,,,,,"SUB OUT by BRACKINS,MINDY",1,subbing out,,maryville college,mindy brackins,,877
45,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,45,14:37,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,877
46,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,46,14:37,,,,,"SUB IN by GUY,ALEXIS",,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,877
47,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,47,14:37,,,,,"SUB IN by COLLIVER,OLIVIA",,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,877
48,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,48,14:37,,,,,"SUB OUT by BAECHLE,PAIGE",,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,877
49,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,49,14:37,,,,,"SUB OUT by STOUGH,MARY GORDON",,,"SUB OUT by STOUGH,MARY GORDON",1,subbing out,,Centre,mary gordon stough,,877
50,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,50,14:37,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,877
51,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,51,14:26,"MISS JUMPER by PUCKETT,MACKENZIE",,,,,,,"MISS JUMPER by PUCKETT,MACKENZIE",1,jumper,missed,maryville college,mackenzie puckett,,866
52,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,52,--,,,,,"REBOUND DEF by GUY,ALANNA",,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
53,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,53,14:19,,,,,"MISS LAYUP by GUY,ALANNA",,,"MISS LAYUP by GUY,ALANNA",1,layup,missed,Centre,alanna guy,,859
54,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,54,--,"REBOUND DEF by PUCKETT,MACKENZIE",,,,,,,"REBOUND DEF by PUCKETT,MACKENZIE",1,defensive rebound,,maryville college,mackenzie puckett,,
55,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,55,14:02,"MISS LAYUP by PUCKETT,MACKENZIE",,,,,,,"MISS LAYUP by PUCKETT,MACKENZIE",1,layup,missed,maryville college,mackenzie puckett,,842
56,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,56,14:02,,,,,"BLOCK  by JUDY,MICHELE",,,"BLOCK  by JUDY,MICHELE",1,block,,Centre,michele judy,,842
57,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,57,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
58,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,58,13:38,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,818
59,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,59,--,"REBOUND DEF by BALLARD,JORDAN",,,,,,,"REBOUND DEF by BALLARD,JORDAN",1,defensive rebound,,maryville college,jordan ballard,,
60,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,60,13:26,"GOOD 3PTR by BURNETT,LAUREN",9,,11 (+2),,MVCW 9-11 (+2),,"GOOD 3PTR by BURNETT,LAUREN",1,three pointer,good,maryville college,lauren burnett,3,806
61,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,61,--,"ASSIST  by BOND,ALEX",,,,,,,"ASSIST  by BOND,ALEX",1,assist,,maryville college,alex bond,,
62,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,62,13:06,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,786
63,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,63,--,"REBOUND DEF by BOND,ALEX",,,,,,,"REBOUND DEF by BOND,ALEX",1,defensive rebound,,maryville college,alex bond,,
64,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,64,12:46,"MISS 3PTR by BOND,ALEX",,,,,,,"MISS 3PTR by BOND,ALEX",1,three pointer,missed,maryville college,alex bond,,766
