,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,43,15:16,,,,,"SUB IN by STOUGH,MARY GORDON",,,"SUB IN by STOUGH,MARY GORDON",1,subbing in,,Centre,mary gordon stough,,916
44,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,44,15:16,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,916
45,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,45,15:16,,,,,"SUB OUT by BAECHLE,PAIGE",,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,916
46,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,46,15:16,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,916
47,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,47,15:15,"GOOD JUMPER by MOSS,SYDNEY",12 (+10),,2,,TMC 12-2 (-10),,"GOOD JUMPER by MOSS,SYDNEY",1,jumper,good,thomas more college,sydney moss,2,915
48,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,48,--,"ASSIST  by BURGOYNE,JENNY",,,,,,,"ASSIST  by BURGOYNE,JENNY",1,assist,,thomas more college,jenny burgoyne,,
49,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,49,14:48,"FOUL  by BEASLEY,DEVIN",,,,,,,"FOUL  by BEASLEY,DEVIN",1,foul,,thomas more college,devin beasley,,888
50,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,50,14:48,"SUB IN by KRUSLING,STEPHANIE",,,,,,,"SUB IN by KRUSLING,STEPHANIE",1,subbing in,,thomas more college,stephanie krusling,,888
51,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,51,14:48,"SUB OUT by KITCHEN,KATIE",,,,,,,"SUB OUT by KITCHEN,KATIE",1,subbing out,,thomas more college,katie kitchen,,888
52,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,52,14:25,,12 (+8),,4,"GOOD LAYUP by GUY,ALANNA(in the paint)",CENTRE_W 12-4 (-8),,"GOOD LAYUP by GUY,ALANNA(in the paint)",1,layup,good,Centre,alanna guy,2,865
