,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
55,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,55,--,,,,,"ASSIST  by KLUNK,KIM",,,"ASSIST  by KLUNK,KIM",1,assist,,millsapw,kim klunk,,
56,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,56,13:35,"GOOD 3PTR by RHULE,BONNIE",7,,10 (+3),,CENTREW 7-10 (-3),,"GOOD 3PTR by RHULE,BONNIE",1,three pointer,good,Centre,bonnie rhule,3,815
57,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,57,--,"ASSIST  by GUY,ALANNA",,,,,,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
58,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,58,13:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,801
59,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,59,13:10,"FOUL  by COLLIVER,OLIVIA",,,,,,,"FOUL  by COLLIVER,OLIVIA",1,foul,,Centre,olivia colliver,,790
60,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,60,13:10,,,,,"MISS FT by FREEMAN,KALA",,,"MISS FT by FREEMAN,KALA",1,free throw,missed,millsapw,kala freeman,,790
61,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,61,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
62,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,62,13:10,,7,,11 (+4),"GOOD FT by FREEMAN,KALA",MILLSAPW 7-11 (-4),,"GOOD FT by FREEMAN,KALA",1,free throw,good,millsapw,kala freeman,1,790
63,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,63,13:10,"SUB IN by GUY,ALEXIS",,,,,,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,790
64,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,64,13:10,"SUB IN by COLLIVER,OLIVIA",,,,,,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,790
65,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,65,13:10,"SUB OUT by STOUGH,MARY GORDON",,,,,,,"SUB OUT by STOUGH,MARY GORDON",1,subbing out,,Centre,mary gordon stough,,790
