,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
37,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,37,15:02,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,902
38,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,38,15:02,,,,,"SUB IN by DIXON,JOTHANI",,,"SUB IN by DIXON,JOTHANI",1,subbing in,,birmingham-southern,jothani dixon,,902
39,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,39,15:02,,,,,"SUB IN by ROMANO,JANE",,,"SUB IN by ROMANO,JANE",1,subbing in,,birmingham-southern,jane romano,,902
40,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,40,15:02,,,,,"SUB OUT by CURRY,ASHLEY",,,"SUB OUT by CURRY,ASHLEY",1,subbing out,,birmingham-southern,ashley curry,,902
41,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,41,15:02,,,,,"SUB OUT by PEURSEM,LAURA VAN",,,"SUB OUT by PEURSEM,LAURA VAN",1,subbing out,,birmingham-southern,laura van peursem,,902
42,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,42,14:56,"FOUL  by BAECHLE,PAIGE",,,,,,,"FOUL  by BAECHLE,PAIGE",1,foul,,Centre,paige baechle,,896
43,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,43,14:56,,9 (+2),,7,"GOOD FT by FORD,KAYLA",BSC 9-7 (+2),,"GOOD FT by FORD,KAYLA",1,free throw,good,birmingham-southern,kayla ford,1,896
44,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,44,14:56,,9 (+1),,8,"GOOD FT by FORD,KAYLA",BSC 9-8 (+1),,"GOOD FT by FORD,KAYLA",1,free throw,good,birmingham-southern,kayla ford,1,896
45,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,45,14:35,"TURNOVER  by STOUGH,MARY GORDON",,,,,,,"TURNOVER  by STOUGH,MARY GORDON",1,turnover,,Centre,mary gordon stough,,875
46,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,46,14:34,,,,,"STEAL  by BROMIRSKI,ELIZABETH",,,"STEAL  by BROMIRSKI,ELIZABETH",1,steal,,birmingham-southern,,,874
