,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,LCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
52,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,52,14:57,"SUB OUT by STOUGH,MARY GORDON",,,,,,,"SUB OUT by STOUGH,MARY GORDON",1,subbing out,,Centre,mary gordon stough,,897
53,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,53,14:57,"SUB OUT by JUDY,MICHELE",,,,,,,"SUB OUT by JUDY,MICHELE",1,subbing out,,Centre,michele judy,,897
54,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,54,14:57,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,897
55,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,55,14:30,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1,turnover,,lagrange,,,870
56,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,56,14:30,,,,,"SUB IN by BUTLER,FALINJIA",,,"SUB IN by BUTLER,FALINJIA",1,subbing in,,lagrange,falinjia butler,,870
57,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,57,14:30,,,,,"SUB IN by MCDONALD,MORGAN",,,"SUB IN by MCDONALD,MORGAN",1,subbing in,,lagrange,morgan mcdonald,,870
58,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,58,14:30,,,,,"SUB OUT by BRASHIER,CAROLINE",,,"SUB OUT by BRASHIER,CAROLINE",1,subbing out,,lagrange,caroline brashier,,870
59,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,59,14:30,,,,,"SUB OUT by CONNELL,HUNTER",,,"SUB OUT by CONNELL,HUNTER",1,subbing out,,lagrange,hunter connell,,870
60,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,60,14:16,"MISS LAYUP by HARTLAGE,MAGGIE",,,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,856
61,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,61,--,,,,,"REBOUND DEF by BARKER,MADISON",,,"REBOUND DEF by BARKER,MADISON",1,defensive rebound,,lagrange,madison barker,,
62,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,62,14:03,,,,,"MISS JUMPER by BUTLER,FALINJIA",,,"MISS JUMPER by BUTLER,FALINJIA",1,jumper,missed,lagrange,falinjia butler,,843
63,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,63,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
64,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,64,14:03,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,843
65,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,65,14:03,"SUB OUT by GUY,ALANNA",,,,,,,"SUB OUT by GUY,ALANNA",1,subbing out,,Centre,alanna guy,,843
66,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,66,13:56,,,,,"MISS JUMPER by BUTLER,FALINJIA",,,"MISS JUMPER by BUTLER,FALINJIA",1,jumper,missed,lagrange,falinjia butler,,836
67,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,67,--,,,,,"REBOUND OFF by BARKER,MADISON",,,"REBOUND OFF by BARKER,MADISON",1,offensive rebound,,lagrange,madison barker,,
68,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,68,13:43,,12 (+4),,8,"GOOD 3PTR by WILSON,ALEX",LCW 12-8 (+4),,"GOOD 3PTR by WILSON,ALEX",1,three pointer,good,lagrange,alex wilson,3,823
69,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,69,--,,,,,"ASSIST  by MCDONALD,MORGAN",,,"ASSIST  by MCDONALD,MORGAN",1,assist,,lagrange,morgan mcdonald,,
70,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,70,13:31,"MISS 3PTR by COLLIVER,OLIVIA",,,,,,,"MISS 3PTR by COLLIVER,OLIVIA",1,three pointer,missed,Centre,olivia colliver,,811
71,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,71,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
72,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,72,13:27,"SUB IN by RHULE,BONNIE",,,,,,,"SUB IN by RHULE,BONNIE",1,subbing in,,Centre,bonnie rhule,,807
73,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,73,13:27,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,807
74,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,74,12:58,,,,,"TURNOVER  by MCDONALD,MORGAN",,,"TURNOVER  by MCDONALD,MORGAN",1,turnover,,lagrange,morgan mcdonald,,778
75,2,lagrange,Centre,LaGrange,65-48,65,48,"33, 32, 65","24, 24, 48",33,32,65,24,24,48,2-0,0-1,11/17/13,Win,326,No Location Recorded,2:00 AM,A,75,12:41,,,,,"SUB IN by CONNELL,HUNTER",,,"SUB IN by CONNELL,HUNTER",1,subbing in,,lagrange,hunter connell,,761
