,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,PCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
57,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,57,14:57,,,,,"BLOCK  by BALL,SYMONE",,,"BLOCK  by BALL,SYMONE",1,block,,piedmont college,symone ball,,897
58,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,58,--,,,,,"REBOUND DEF by BALL,SYMONE",,,"REBOUND DEF by BALL,SYMONE",1,defensive rebound,,piedmont college,symone ball,,
59,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,59,14:50,"FOUL  by RHULE,BONNIE",,,,,,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,890
60,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,60,14:50,,7 (+2),,5,"GOOD FT by RUSHTON,MARY KATE",PCW 7-5 (+2),,"GOOD FT by RUSHTON,MARY KATE",1,free throw,good,piedmont college,mary kate rushton,1,890
61,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,61,14:50,,7 (+1),,6,"GOOD FT by RUSHTON,MARY KATE",PCW 7-6 (+1),,"GOOD FT by RUSHTON,MARY KATE",1,free throw,good,piedmont college,mary kate rushton,1,890
62,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,62,14:50,"SUB IN by GUY,ALEXIS",,,,,,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,890
63,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,63,14:50,"SUB IN by BAECHLE,PAIGE",,,,,,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,890
64,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,64,14:50,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,890
65,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,65,14:50,"SUB OUT by STOUGH,MARY GORDON",,,,,,,"SUB OUT by STOUGH,MARY GORDON",1,subbing out,,Centre,mary gordon stough,,890
66,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,66,14:45,"MISS JUMPER by GUY,ALEXIS",,,,,,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,885
67,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,67,--,,,,,"REBOUND DEF by ALVERSON,CHANDLER",,,"REBOUND DEF by ALVERSON,CHANDLER",1,defensive rebound,,piedmont college,chandler alverson,,
68,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,68,14:37,,7,,9 (+2),"GOOD 3PTR by RUSHTON,MARY KATE",PCW 7-9 (-2),,"GOOD 3PTR by RUSHTON,MARY KATE",1,three pointer,good,piedmont college,mary kate rushton,3,877
69,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,69,--,,,,,"ASSIST  by ALVERSON,CHANDLER",,,"ASSIST  by ALVERSON,CHANDLER",1,assist,,piedmont college,chandler alverson,,
70,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,70,14:26,"TURNOVER  by GUY,ALANNA",,,,,,,"TURNOVER  by GUY,ALANNA",1,turnover,,Centre,alanna guy,,866
71,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,71,14:18,,,,,"FOUL  by REYES,ELISE",,,"FOUL  by REYES,ELISE",1,foul,,piedmont college,elise reyes,,858
72,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,72,14:05,"TURNOVER  by RHULE,BONNIE",,,,,,,"TURNOVER  by RHULE,BONNIE",1,turnover,,Centre,bonnie rhule,,845
73,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,73,14:05,"SUB IN by HARTLAGE,MAGGIE",,,,,,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,845
