,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
48,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,48,05:29,,,,,"SUB IN by NALL,ALEXIS",,,"SUB IN by NALL,ALEXIS",1,subbing in,,hanover,alexis nall,,329
49,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,49,05:29,,,,,"SUB OUT by MOTTER,MALEHA",,,"SUB OUT by MOTTER,MALEHA",1,subbing out,,hanover,maleha motter,,329
50,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,50,05:29,,,,,"SUB OUT by HARTMAN,KATIE",,,"SUB OUT by HARTMAN,KATIE",1,subbing out,,hanover,katie hartman,,329
51,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,51,05:07,"FOUL  by MORRIS,TAYLOR",,,,,,,"FOUL  by MORRIS,TAYLOR",1,foul,,Centre,taylor morris,,307
52,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,52,04:54,,,,,"MISS FT by TODD,BROOKE",,,"MISS FT by TODD,BROOKE",1,free throw,missed,hanover,brooke todd,,294
53,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,53,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
54,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,54,04:54,,0,,5 (+5),"GOOD FT by TODD,BROOKE",HC 0-5 (-5),,"GOOD FT by TODD,BROOKE",1,free throw,good,hanover,brooke todd,1,294
55,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,55,04:54,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,294
56,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,56,04:54,"SUB IN by WILSON,KATHLEEN",,,,,,,"SUB IN by WILSON,KATHLEEN",1,subbing in,,Centre,kathleen wilson,,294
57,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,57,04:54,"SUB OUT by ROBERTS,BRIANNA",,,,,,,"SUB OUT by ROBERTS,BRIANNA",1,subbing out,,Centre,brianna roberts,,294
58,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,58,04:54,"SUB OUT by MORRIS,TAYLOR",,,,,,,"SUB OUT by MORRIS,TAYLOR",1,subbing out,,Centre,taylor morris,,294
59,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,59,04:18,"TURNOVER  by BUNNER,CHEYENNE",,,,,,,"TURNOVER  by BUNNER,CHEYENNE",1,turnover,,Centre,cheyenne bunner,,258
60,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,60,04:10,,,,,"STEAL  by NALL,ALEXIS",,,"STEAL  by NALL,ALEXIS",1,steal,,hanover,,,250
61,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,61,04:10,,0,,7 (+7),"GOOD LAYUP by NALL,ALEXIS(fastbreak)(in the paint)",HC 0-7 (-7),,"GOOD LAYUP by NALL,ALEXIS(fastbreak)(in the paint)",1,layup,good,hanover,alexis(fastbreak) nall,2,250
62,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,62,04:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,250
63,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,63,03:52,"MISS JUMPER by MILLER,LAKKEN",,,,,,,"MISS JUMPER by MILLER,LAKKEN",1,jumper,missed,Centre,lakken miller,,232
64,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,64,--,,,,,"REBOUND DEF by MILLS,KRISTIN",,,"REBOUND DEF by MILLS,KRISTIN",1,defensive rebound,,hanover,kristin mills,,
65,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,65,03:52,,,,,"TURNOVER  by TODD,BROOKE",,,"TURNOVER  by TODD,BROOKE",1,turnover,,hanover,brooke todd,,232
66,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,66,03:52,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,232
67,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,67,--,,,,,"REBOUND DEF by COURTNEY,SAVANNAH",,,"REBOUND DEF by COURTNEY,SAVANNAH",1,defensive rebound,,hanover,savannah courtney,,
