,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
48,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,48,04:28,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,268
49,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,49,04:28,"SUB OUT by BUNNER,CHEYENNE",,,,,,,"SUB OUT by BUNNER,CHEYENNE",1,subbing out,,Centre,cheyenne bunner,,268
50,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,50,04:28,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,268
51,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,51,04:18,"TURNOVER  by MURRAY,KYLEE",,,,,,,"TURNOVER  by MURRAY,KYLEE",1,turnover,,Centre,kylee murray,,258
52,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,52,04:18,,,,,"STEAL  by MORNING,JANA",,,"STEAL  by MORNING,JANA",1,steal,,berry,,,258
53,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,53,03:55,,,,,"MISS LAYUP by SMITH,MCKENZIE",,,"MISS LAYUP by SMITH,MCKENZIE",1,layup,missed,berry,mckenzie smith,,235
54,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,54,--,"REBOUND DEF by FEE,MIKAYLA",,,,,,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
55,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,55,03:43,"GOOD LAYUP by HICKS,ELLEN(in the paint)",4,,6 (+2),,CENTRE-W 4-6 (-2),,"GOOD LAYUP by HICKS,ELLEN(in the paint)",1,layup,good,Centre,ellen hicks,2,223
56,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,56,03:15,,,,,"MISS JUMPER by CEREZOLA,CHRISTINE",,,"MISS JUMPER by CEREZOLA,CHRISTINE",1,jumper,missed,berry,christine cerezola,,195
57,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,57,--,"REBOUND DEF by MILLER,LAKKEN",,,,,,,"REBOUND DEF by MILLER,LAKKEN",1,defensive rebound,,Centre,lakken miller,,
58,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,58,03:15,,,,,"SUB IN by SANDMAN,MADELINE",,,"SUB IN by SANDMAN,MADELINE",1,subbing in,,berry,madeline sandman,,195
59,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,59,03:15,,,,,"SUB IN by PARSONS,EVELINE",,,"SUB IN by PARSONS,EVELINE",1,subbing in,,berry,eveline parsons,,195
60,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,60,03:15,,,,,"SUB OUT by MORNING,JANA",,,"SUB OUT by MORNING,JANA",1,subbing out,,berry,jana morning,,195
61,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,61,03:15,,,,,"SUB OUT by WEEMS,ALEX",,,"SUB OUT by WEEMS,ALEX",1,subbing out,,berry,alex weems,,195
62,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,62,03:10,,,,,"FOUL  by SANDMAN,MADELINE",,,"FOUL  by SANDMAN,MADELINE",1,foul,,berry,madeline sandman,,190
63,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,63,03:10,"GOOD FT by HICKS,ELLEN(fastbreak)",5,,6 (+1),,CENTRE-W 5-6 (-1),,"GOOD FT by HICKS,ELLEN(fastbreak)",1,free throw,good,Centre,ellen(fastbreak) hicks,1,190
64,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,64,03:10,"GOOD FT by HICKS,ELLEN(fastbreak)",6,,6,,CENTRE-W 6-6 (0),,"GOOD FT by HICKS,ELLEN(fastbreak)",1,free throw,good,Centre,ellen(fastbreak) hicks,1,190
65,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,65,02:55,,6,,8 (+2),"GOOD JUMPER by SANDMAN,MADELINE(in the paint)",BERRY 6-8 (-2),,"GOOD JUMPER by SANDMAN,MADELINE(in the paint)",1,jumper,good,berry,madeline sandman,2,175
66,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,66,02:41,"TURNOVER  by MORRIS,TAYLOR",,,,,,,"TURNOVER  by MORRIS,TAYLOR",1,turnover,,Centre,taylor morris,,161
67,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,67,02:41,,,,,"STEAL  by SMITH,MCKENZIE",,,"STEAL  by SMITH,MCKENZIE",1,steal,,berry,,,161
