,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,EC-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
50,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,50,04:49,,,,,"SUB IN by CHIRICO,PRESLEY",,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,289
51,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,51,04:49,,,,,"SUB OUT by MILLER,LAKKEN",,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,289
52,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,52,04:45,"FOUL  by MCFARLAND,MAKAYLA",,,,,,,"FOUL  by MCFARLAND,MAKAYLA",1,foul,,earlham,makayla mcfarland,,285
53,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,53,04:08,,,,,"MISS LAYUP by BUNNER,CHEYENNE",,,"MISS LAYUP by BUNNER,CHEYENNE",1,layup,missed,Centre,cheyenne bunner,,248
54,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,54,--,"REBOUND DEF by WHITE,CAMRYN",,,,,,,"REBOUND DEF by WHITE,CAMRYN",1,defensive rebound,,earlham,camryn white,,
55,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,55,04:00,,,,,"FOUL  by FEE,MIKAYLA",,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,240
56,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,56,04:00,"MISS FT by WHITE,CAMRYN",,,,,,,"MISS FT by WHITE,CAMRYN",1,free throw,missed,earlham,camryn white,,240
57,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,57,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,earlham,,,
58,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,58,04:00,"SUB IN by CURTIS,ZOE",,,,,,,"SUB IN by CURTIS,ZOE",1,subbing in,,earlham,zoe curtis,,240
59,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,59,04:00,"SUB IN by SPEARS,KYNDALL",,,,,,,"SUB IN by SPEARS,KYNDALL",1,subbing in,,earlham,kyndall spears,,240
60,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,60,04:00,"SUB OUT by BOWLING,KAYLA",,,,,,,"SUB OUT by BOWLING,KAYLA",1,subbing out,,earlham,kayla bowling,,240
61,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,61,04:00,"SUB OUT by NEWHART,ROSIE",,,,,,,"SUB OUT by NEWHART,ROSIE",1,subbing out,,earlham,rosie newhart,,240
62,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,62,03:59,"GOOD FT by WHITE,CAMRYN",5 (+1),,4,,EC-W 5-4 (-1),,"GOOD FT by WHITE,CAMRYN",1,free throw,good,earlham,camryn white,1,239
63,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,63,03:43,,5,,7 (+2),"GOOD 3PTR by MURRAY,KYLEE",CENTRE-W 5-7 (+2),,"GOOD 3PTR by MURRAY,KYLEE",1,three pointer,good,Centre,kylee murray,3,223
64,7,earlham,Earlham,Centre,63-40,63,40,"13, 15, 16, 19, 63","8, 12, 6, 14, 40",13,15,16,19,63,8,12,6,14,40,6-1,3-5,12/11/18,Win,223,No Location Recorded,6:30 PM,H,64,--,,,,,"ASSIST  by WEHBY,ABIGAIL",,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
