,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,SUWB,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
38,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,38,05:18,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,318
39,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,39,05:18,,,,,"SUB IN by POWELL,KENDYL",,,"SUB IN by POWELL,KENDYL",1,subbing in,,spalding,kendyl powell,,318
40,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,40,05:18,,,,,"SUB IN by PINKSTON,SAVANNA",,,"SUB IN by PINKSTON,SAVANNA",1,subbing in,,spalding,savanna pinkston,,318
41,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,41,05:18,,,,,"SUB IN by BABEY,SAMANTHA",,,"SUB IN by BABEY,SAMANTHA",1,subbing in,,spalding,samantha babey,,318
42,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,42,05:18,,,,,"SUB IN by ANTHONY,BREANNA",,,"SUB IN by ANTHONY,BREANNA",1,subbing in,,spalding,breanna anthony,,318
43,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,43,05:18,,,,,"SUB OUT by GAHAGAN,TSE",,,"SUB OUT by GAHAGAN,TSE",1,subbing out,,spalding,tse gahagan,,318
44,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,44,05:18,,,,,"SUB OUT by WRIGHT,HUNTER",,,"SUB OUT by WRIGHT,HUNTER",1,subbing out,,spalding,hunter wright,,318
45,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,45,05:18,,,,,"SUB OUT by RENFRO,HANNAH",,,"SUB OUT by RENFRO,HANNAH",1,subbing out,,spalding,hannah renfro,,318
46,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,46,05:18,,,,,"SUB OUT by JUST,ALLISON",,,"SUB OUT by JUST,ALLISON",1,subbing out,,spalding,allison just,,318
47,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,47,04:54,,,,,"TURNOVER  by ANTHONY,BREANNA",,,"TURNOVER  by ANTHONY,BREANNA",1,turnover,,spalding,breanna anthony,,294
48,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,48,04:52,"STEAL  by FEE,MIKAYLA",,,,,,,"STEAL  by FEE,MIKAYLA",1,steal,,Centre,,,292
49,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,49,04:43,"FOUL  by FEE,MIKAYLA",,,,,,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,283
50,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,50,04:43,"TURNOVER  by FEE,MIKAYLA",,,,,,,"TURNOVER  by FEE,MIKAYLA",1,turnover,,Centre,mikayla fee,,283
51,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,51,04:43,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,283
52,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,52,04:43,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,283
53,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,53,04:43,,,,,"SUB IN by REED,KAILEY",,,"SUB IN by REED,KAILEY",1,subbing in,,spalding,kailey reed,,283
54,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,54,04:43,,,,,"SUB OUT by GOEING,MEGAN",,,"SUB OUT by GOEING,MEGAN",1,subbing out,,spalding,megan goeing,,283
55,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,55,04:19,,4,,5 (+1),"GOOD LAYUP by REED,KAILEY(in the paint)",SUWB 4-5 (-1),,"GOOD LAYUP by REED,KAILEY(in the paint)",1,layup,good,spalding,kailey reed,2,259
56,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,56,--,,,,,"ASSIST  by POWELL,KENDYL",,,"ASSIST  by POWELL,KENDYL",1,assist,,spalding,kendyl powell,,
57,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,57,03:47,,,,,"FOUL  by PINKSTON,SAVANNA",,,"FOUL  by PINKSTON,SAVANNA",1,foul,,spalding,savanna pinkston,,227
58,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,58,03:47,"GOOD FT by STEWART,ABIGAIL",5,,5,,CENTRE-W 5-5 (0),,"GOOD FT by STEWART,ABIGAIL",1,free throw,good,Centre,abigail stewart,1,227
59,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,59,03:47,"MISS FT by STEWART,ABIGAIL",,,,,,,"MISS FT by STEWART,ABIGAIL",1,free throw,missed,Centre,abigail stewart,,227
60,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,60,--,,,,,"REBOUND DEF by WRIGHT,HUNTER",,,"REBOUND DEF by WRIGHT,HUNTER",1,defensive rebound,,spalding,hunter wright,,
61,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,61,03:47,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,227
62,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,62,03:47,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,227
63,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,63,03:47,,,,,"SUB IN by WRIGHT,HUNTER",,,"SUB IN by WRIGHT,HUNTER",1,subbing in,,spalding,hunter wright,,227
64,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,64,03:47,,,,,"SUB IN by RENFRO,HANNAH",,,"SUB IN by RENFRO,HANNAH",1,subbing in,,spalding,hannah renfro,,227
