,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,44,06:27,,,,,"BLOCK  by FEE,MIKAYLA",,,"BLOCK  by FEE,MIKAYLA",1,block,,Centre,mikayla fee,,387
45,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,45,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
46,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,46,05:47,,,,,"MISS 3PTR by MILLER,LAKKEN",,,"MISS 3PTR by MILLER,LAKKEN",1,three pointer,missed,Centre,lakken miller,,347
47,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,47,--,"REBOUND DEF by HARRIS,REBECCA",,,,,,,"REBOUND DEF by HARRIS,REBECCA",1,defensive rebound,,millsaps,rebecca harris,,
48,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,48,05:44,,,,,"FOUL  by BUNNER,CHEYENNE",,,"FOUL  by BUNNER,CHEYENNE",1,foul,,Centre,cheyenne bunner,,344
49,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,49,05:29,"GOOD JUMPER by THOMAS,BRAXTON(in the paint)",4,,5 (+1),,MIL 4-5 (+1),,"GOOD JUMPER by THOMAS,BRAXTON(in the paint)",1,jumper,good,millsaps,braxton thomas,2,329
50,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,50,04:57,,,,,"MISS JUMPER by CHIRICO,PRESLEY",,,"MISS JUMPER by CHIRICO,PRESLEY",1,jumper,missed,Centre,presley chirico,,297
51,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,51,--,"REBOUND DEF by HARRIS,REBECCA",,,,,,,"REBOUND DEF by HARRIS,REBECCA",1,defensive rebound,,millsaps,rebecca harris,,
52,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,52,04:25,"GOOD LAYUP by MCCREA,MORGAN(in the paint)",6 (+1),,5,,MIL 6-5 (-1),,"GOOD LAYUP by MCCREA,MORGAN(in the paint)",1,layup,good,millsaps,morgan mccrea,2,265
53,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,53,04:10,"FOUL  by WILSON,ANNA",,,,,,,"FOUL  by WILSON,ANNA",1,foul,,millsaps,anna wilson,,250
