,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
53,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,53,15:01,,,,,"SUB IN by HUTER,LAUREN",,,"SUB IN by HUTER,LAUREN",1,subbing in,,Centre,lauren huter,,901
54,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,54,14:54,"MISS 3PTR by ROANE,ANNA",,,,,,,"MISS 3PTR by ROANE,ANNA",1,three pointer,missed,hendrix college,anna roane,,894
55,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,55,--,"REBOUND OFF by BIGGS-SCRIBNER,MAGG",,,,,,,"REBOUND OFF by BIGGS-SCRIBNER,MAGG",1,offensive rebound,,hendrix college,magg biggs-scribner,,
56,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,56,14:44,"TURNOVER  by ROANE,ANNA",,,,,,,"TURNOVER  by ROANE,ANNA",1,turnover,,hendrix college,anna roane,,884
57,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,57,14:43,,,,,"STEAL  by PREWITT,MAGGIE",,,"STEAL  by PREWITT,MAGGIE",1,steal,,Centre,,,883
58,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,58,14:40,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,880
59,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,59,--,"REBOUND DEF by BIGGS-SCRIBNER,MAGG",,,,,,,"REBOUND DEF by BIGGS-SCRIBNER,MAGG",1,defensive rebound,,hendrix college,magg biggs-scribner,,
60,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,60,14:34,"SUB IN by COUGHRAN,KATIE",,,,,,,"SUB IN by COUGHRAN,KATIE",1,subbing in,,hendrix college,katie coughran,,874
61,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,61,14:34,"SUB OUT by BIGGS-SCRIBNER,MAGG",,,,,,,"SUB OUT by BIGGS-SCRIBNER,MAGG",1,subbing out,,hendrix college,magg biggs-scribner,,874
62,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,62,14:34,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,874
63,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,63,14:34,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,874
64,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,64,14:34,,,,,"SUB OUT by STOUGH,MARY",,,"SUB OUT by STOUGH,MARY",1,subbing out,,Centre,mary stough,,874
65,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,65,14:34,,,,,"SUB OUT by ANDERSON,ALEXIS",,,"SUB OUT by ANDERSON,ALEXIS",1,subbing out,,Centre,alexis anderson,,874
66,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,66,14:34,,,,,"SUB OUT by HUTER,LAUREN",,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,874
67,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,67,14:24,"MISS JUMPER by ROANE,ANNA",,,,,,,"MISS JUMPER by ROANE,ANNA",1,jumper,missed,hendrix college,anna roane,,864
68,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,68,--,"REBOUND OFF by COUGHRAN,KATIE",,,,,,,"REBOUND OFF by COUGHRAN,KATIE",1,offensive rebound,,hendrix college,katie coughran,,
69,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,69,14:20,"MISS LAYUP by COUGHRAN,KATIE",,,,,,,"MISS LAYUP by COUGHRAN,KATIE",1,layup,missed,hendrix college,katie coughran,,860
70,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,70,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
