,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
51,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,51,15:25,"BLOCK  by MENARD,JANEL",,,,,,,"BLOCK  by MENARD,JANEL",1,block,,maryville college,janel menard,,925
52,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,52,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
53,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,53,15:25,,4,,9 (+5),"GOOD JUMPER by BENHAM,CHELSEA",CENTRE_W 4-9 (+5),,"GOOD JUMPER by BENHAM,CHELSEA",1,jumper,good,Centre,chelsea benham,2,925
54,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,54,--,,,,,"ASSIST  by WINSTEAD,BRIDGET",,,"ASSIST  by WINSTEAD,BRIDGET",1,assist,,Centre,bridget winstead,,
55,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,55,15:25,"TURNOVER  by MITCHELL,WHITNEY",,,,,,,"TURNOVER  by MITCHELL,WHITNEY",1,turnover,,maryville college,whitney mitchell,,925
56,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,56,15:25,,,,,"STEAL  by BENHAM,CHELSEA",,,"STEAL  by BENHAM,CHELSEA",1,steal,,Centre,,,925
57,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,57,15:25,,4,,12 (+8),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE_W 4-12 (+8),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,925
58,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,58,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
59,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,59,14:23,"MISS 3PTR by HEYBOER,TARA",,,,,,,"MISS 3PTR by HEYBOER,TARA",1,three pointer,missed,maryville college,tara heyboer,,863
60,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,60,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
61,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,61,14:15,,,,,"MISS LAYUP by PREWITT,MAGGIE",,,"MISS LAYUP by PREWITT,MAGGIE",1,layup,missed,Centre,maggie prewitt,,855
