,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SUWB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
38,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,38,16:50,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,1010
39,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,39,--,"REBOUND DEF by GUY,JESSICA",,,,,,,"REBOUND DEF by GUY,JESSICA",1,defensive rebound,,spalding univ.,jessica guy,,
40,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,40,16:45,"GOOD JUMPER by WRIGHT,TESHA",6,,7 (+1),,SUWB 6-7 (+1),,"GOOD JUMPER by WRIGHT,TESHA",1,jumper,good,spalding univ.,tesha wright,2,1005
41,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,41,16:21,,,,,"MISS JUMPER by BENHAM,CHELSEA",,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,981
42,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,42,--,"REBOUND DEF by WRIGHT,TESHA",,,,,,,"REBOUND DEF by WRIGHT,TESHA",1,defensive rebound,,spalding univ.,tesha wright,,
43,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,43,15:50,,,,,"FOUL  by WEST,CAILYNN",,,"FOUL  by WEST,CAILYNN",1,foul,,Centre,cailynn west,,950
44,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,44,15:50,"GOOD FT by HAYES,KERSTIN",7,,7,,SUWB 7-7 (0),,"GOOD FT by HAYES,KERSTIN",1,free throw,good,spalding univ.,kerstin hayes,1,950
45,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,45,15:50,"GOOD FT by HAYES,KERSTIN",8 (+1),,7,,SUWB 8-7 (-1),,"GOOD FT by HAYES,KERSTIN",1,free throw,good,spalding univ.,kerstin hayes,1,950
46,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,46,15:50,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,950
47,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,47,15:50,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,950
48,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,48,15:50,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,950
49,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,49,15:50,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,950
50,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,50,15:28,,8,,9 (+1),"GOOD JUMPER by BAECHLE,PAIGE",CENTRE_W 8-9 (+1),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,928
51,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,51,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
52,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,52,15:02,"TURNOVER  by HAYES,KERSTIN",,,,,,,"TURNOVER  by HAYES,KERSTIN",1,turnover,,spalding univ.,kerstin hayes,,902
53,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,53,15:01,,,,,"STEAL  by PREWITT,MAGGIE",,,"STEAL  by PREWITT,MAGGIE",1,steal,,Centre,,,901
54,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,54,14:58,,8,,11 (+3),"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 8-11 (+3),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,898
55,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,55,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
56,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,56,14:46,"MISS 3PTR by LEAVELL,MELINDA",,,,,,,"MISS 3PTR by LEAVELL,MELINDA",1,three pointer,missed,spalding univ.,melinda leavell,,886
57,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,57,--,,,,,"REBOUND DEF by WEST,CAILYNN",,,"REBOUND DEF by WEST,CAILYNN",1,defensive rebound,,Centre,cailynn west,,
58,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,58,14:38,,,,,"MISS JUMPER by GOATLEY,JANE",,,"MISS JUMPER by GOATLEY,JANE",1,jumper,missed,Centre,jane goatley,,878
59,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,59,--,,,,,"REBOUND OFF by WEST,CAILYNN",,,"REBOUND OFF by WEST,CAILYNN",1,offensive rebound,,Centre,cailynn west,,
60,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,60,14:28,,,,,"MISS 3PTR by GOATLEY,JANE",,,"MISS 3PTR by GOATLEY,JANE",1,three pointer,missed,Centre,jane goatley,,868
61,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,61,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
62,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,62,14:23,,,,,"MISS 3PTR by PREWITT,MAGGIE",,,"MISS 3PTR by PREWITT,MAGGIE",1,three pointer,missed,Centre,maggie prewitt,,863
63,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,63,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
64,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,64,14:17,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,857
65,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,65,--,"REBOUND DEF by BOYD,LAQUISHA",,,,,,,"REBOUND DEF by BOYD,LAQUISHA",1,defensive rebound,,spalding univ.,laquisha boyd,,
66,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,66,14:09,"MISS LAYUP by WASHLE,HANNAH",,,,,,,"MISS LAYUP by WASHLE,HANNAH",1,layup,missed,spalding univ.,hannah washle,,849
67,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,67,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
68,19,spalding,Spalding Univ.,Centre College,66-54,66,54,"32, 34, 66","29, 25, 54",32,34,66,29,25,54,18-1,10-10,02/01/12,Win,218,No Location Recorded,7:00 p.m.,H,68,14:03,,,,,"MISS LAYUP by PREWITT,MAGGIE",,,"MISS LAYUP by PREWITT,MAGGIE",1,layup,missed,Centre,maggie prewitt,,843
