,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,RCWBB12,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
46,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,46,12:56,,9,,9,"GOOD LAYUP by WOMACK,SARAH(in the paint)",RCWBB12 9-9 (0),,"GOOD LAYUP by WOMACK,SARAH(in the paint)",1,layup,good,rhodes,sarah womack,2,776
47,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,47,12:48,"GOOD JUMPER by BENHAM,CHELSEA",11 (+2),,9,,CENTRE_W 11-9 (+2),,"GOOD JUMPER by BENHAM,CHELSEA",1,jumper,good,Centre,chelsea benham,2,768
48,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,48,--,"ASSIST  by HUTER,LAUREN",,,,,,,"ASSIST  by HUTER,LAUREN",1,assist,,Centre,lauren huter,,
49,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,49,12:29,,,,,"MISS JUMPER by BARBER,MARY",,,"MISS JUMPER by BARBER,MARY",1,jumper,missed,rhodes,mary barber,,749
50,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,50,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
51,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,51,12:26,,,,,"TURNOVER  by TODMAN,DY'NELLE",,,"TURNOVER  by TODMAN,DY'NELLE",1,turnover,,rhodes,dy'nelle todman,,746
52,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,52,12:26,"MISS JUMPER by BENHAM,CHELSEA",,,,,,,"MISS JUMPER by BENHAM,CHELSEA",1,jumper,missed,Centre,chelsea benham,,746
53,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,53,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
54,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,54,12:16,,,,,"MISS JUMPER by JOHNSON,SARAH",,,"MISS JUMPER by JOHNSON,SARAH",1,jumper,missed,rhodes,sarah johnson,,736
55,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,55,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
56,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,56,11:41,"MISS JUMPER by BAECHLE,PAIGE",,,,,,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,701
57,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,57,--,,,,,"REBOUND DEF by TODMAN,DY'NELLE",,,"REBOUND DEF by TODMAN,DY'NELLE",1,defensive rebound,,rhodes,dy'nelle todman,,
58,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,58,11:19,,,,,"MISS 3PTR by MAXEY,JAMIE",,,"MISS 3PTR by MAXEY,JAMIE",1,three pointer,missed,rhodes,jamie maxey,,679
59,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,59,--,,,,,"REBOUND OFF by MAXEY,JAMIE",,,"REBOUND OFF by MAXEY,JAMIE",1,offensive rebound,,rhodes,jamie maxey,,
60,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,60,11:06,"FOUL  by BAECHLE,PAIGE",,,,,,,"FOUL  by BAECHLE,PAIGE",1,foul,,Centre,paige baechle,,666
61,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,61,11:00,,,,,"MISS JUMPER by HANDELMAN,AMY",,,"MISS JUMPER by HANDELMAN,AMY",1,jumper,missed,rhodes,amy handelman,,660
62,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,62,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
63,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,63,10:51,"MISS 3PTR by MIRE,JENNA",,,,,,,"MISS 3PTR by MIRE,JENNA",1,three pointer,missed,Centre,jenna mire,,651
64,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,64,--,,,,,"REBOUND DEF by TODMAN,DY'NELLE",,,"REBOUND DEF by TODMAN,DY'NELLE",1,defensive rebound,,rhodes,dy'nelle todman,,
65,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,65,10:40,,,,,"MISS 3PTR by MAXEY,JAMIE",,,"MISS 3PTR by MAXEY,JAMIE",1,three pointer,missed,rhodes,jamie maxey,,640
66,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,66,--,"REBOUND DEF by GOATLEY,JANE",,,,,,,"REBOUND DEF by GOATLEY,JANE",1,defensive rebound,,Centre,jane goatley,,
67,6,rhodes,Centre WBB,Rhodes,62-57,62,57,"28, 34","30, 27",28,34,30,27,No record reported,No record reported,12/04/11,Win,100,No Location Recorded,12:00 PM,A,67,10:30,"TURNOVER  by HUTER,LAUREN",,,,,,,"TURNOVER  by HUTER,LAUREN",1,turnover,,Centre,lauren huter,,630
