,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,34,16:21,,,,,"SUB IN by ATWATER,AISHA",,,"SUB IN by ATWATER,AISHA",1,subbing in,,oglethorpe,aisha atwater,,981
35,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,35,16:21,,,,,"SUB OUT by BRANDON,MORGHAN",,,"SUB OUT by BRANDON,MORGHAN",1,subbing out,,oglethorpe,morghan brandon,,981
36,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,36,16:21,,,,,"SUB OUT by WEEKS,KATIE",,,"SUB OUT by WEEKS,KATIE",1,subbing out,,oglethorpe,katie weeks,,981
37,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,37,15:54,,2,,6 (+4),"GOOD JUMPER by JENKINS,KYANA",OUW 2-6 (-4),,"GOOD JUMPER by JENKINS,KYANA",1,jumper,good,oglethorpe,kyana jenkins,2,954
38,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,38,--,,,,,"ASSIST  by BONE,MAREVA",,,"ASSIST  by BONE,MAREVA",1,assist,,oglethorpe,mareva bone,,
39,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,39,15:37,"TURNOVER  by WINSTEAD,BRIDGET",,,,,,,"TURNOVER  by WINSTEAD,BRIDGET",1,turnover,,Centre,bridget winstead,,937
40,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,40,15:29,,,,,"MISS JUMPER by JONES,SARAH",,,"MISS JUMPER by JONES,SARAH",1,jumper,missed,oglethorpe,sarah jones,,929
41,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,41,--,,,,,"REBOUND OFF by JENKINS,KYANA",,,"REBOUND OFF by JENKINS,KYANA",1,offensive rebound,,oglethorpe,kyana jenkins,,
42,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,42,15:04,,,,,"MISS JUMPER by GILES,SARAH",,,"MISS JUMPER by GILES,SARAH",1,jumper,missed,oglethorpe,sarah giles,,904
43,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,43,--,"REBOUND DEF by PREWITT,MAGGIE",,,,,,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
