,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
37,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,37,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
38,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,38,15:17,"SUB IN by AVANT,LAUREN",,,,,,,"SUB IN by AVANT,LAUREN",1,subbing in,,rhodes college,lauren avant,,917
39,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,39,15:17,"SUB OUT by WOMACK,SARAH",,,,,,,"SUB OUT by WOMACK,SARAH",1,subbing out,,rhodes college,sarah womack,,917
40,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,40,15:17,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,917
41,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,41,15:17,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,917
42,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,42,15:17,,,,,"SUB IN by WEST,CAILYNN",,,"SUB IN by WEST,CAILYNN",1,subbing in,,Centre,cailynn west,,917
43,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,43,15:17,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,917
44,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,44,15:17,,,,,"SUB OUT by BURKE,ALYSON",,,"SUB OUT by BURKE,ALYSON",1,subbing out,,Centre,alyson burke,,917
45,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,45,15:17,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,917
46,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,46,15:17,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,917
47,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,47,15:17,,,,,"SUB OUT by HUTER,LAUREN",,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,917
48,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,48,15:14,"MISS JUMPER by BARBER,MARY",,,,,,,"MISS JUMPER by BARBER,MARY",1,jumper,missed,rhodes college,mary barber,,914
49,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,49,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
50,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,50,14:55,,2,,11 (+9),"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",CENTRE_W 2-11 (+9),,"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",1,layup,good,Centre,maggie prewitt,2,895
51,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,51,14:55,"FOUL  by JOHNSON,SARAH",,,,,,,"FOUL  by JOHNSON,SARAH",1,foul,,rhodes college,sarah johnson,,895
52,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,52,14:55,,2,,12 (+10),"GOOD FT by PREWITT,MAGGIE",CENTRE_W 2-12 (+10),,"GOOD FT by PREWITT,MAGGIE",1,free throw,good,Centre,maggie prewitt,1,895
53,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,53,14:44,,,,,"FOUL  by HARTLAGE,MAGGIE",,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,884
54,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,54,14:27,,,,,"FOUL  by GOATLEY,JANE",,,"FOUL  by GOATLEY,JANE",1,foul,,Centre,jane goatley,,867
55,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,55,14:27,"MISS FT by AVANT,LAUREN",,,,,,,"MISS FT by AVANT,LAUREN",1,free throw,missed,rhodes college,lauren avant,,867
56,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,56,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
