,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
48,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,48,15:41,,8,,14 (+6),"GOOD 3PTR by BURKE,ALYSON",CENTRE_W 8-14 (+6),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,941
49,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,49,--,,,,,"ASSIST  by BAECHLE,PAIGE",,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
50,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,50,15:23,"MISS JUMPER by KRUSE,LIBBY",,,,,,,"MISS JUMPER by KRUSE,LIBBY",1,jumper,missed,trinity university,libby kruse,,923
51,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,51,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
52,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,52,15:14,,8,,16 (+8),"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 8-16 (+8),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,914
53,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,53,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
54,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,54,15:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,912
55,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,55,15:12,"SUB IN by SALMON,ALISON",,,,,,,"SUB IN by SALMON,ALISON",1,subbing in,,trinity university,alison salmon,,912
56,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,56,15:12,"SUB IN by WAIDELICH,ANNE",,,,,,,"SUB IN by WAIDELICH,ANNE",1,subbing in,,trinity university,anne waidelich,,912
57,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,57,15:12,"SUB OUT by KRUSE,LIBBY",,,,,,,"SUB OUT by KRUSE,LIBBY",1,subbing out,,trinity university,libby kruse,,912
58,16,trinity-tex-,Trinity University,Centre College,84-67,84,67,"47, 37, 84","36, 31, 67",47,37,84,36,31,67,"15-1, 9-0 SCAC","7-10, 5-3 SCAC",01/21/12,Win,322,No Location Recorded,6:00 p.m.,H,58,15:12,"SUB OUT by TUCKER,JANA",,,,,,,"SUB OUT by TUCKER,JANA",1,subbing out,,trinity university,jana tucker,,912
