,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CARTHAGE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,47,14:18,"GOOD FT by BAECHLE,PAIGE",12 (+5),,7,,CENTRE_W 12-7 (+5),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,858
48,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,48,14:18,"GOOD FT by BAECHLE,PAIGE",13 (+6),,7,,CENTRE_W 13-7 (+6),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,858
49,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,49,14:18,,,,,"SUB IN by SCHMIDT,KRISTI",,,"SUB IN by SCHMIDT,KRISTI",1,subbing in,,carthage (wis.),kristi schmidt,,858
50,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,50,14:18,,,,,"SUB OUT by JACKLIN,DIANA",,,"SUB OUT by JACKLIN,DIANA",1,subbing out,,carthage (wis.),diana jacklin,,858
51,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,51,13:37,,13 (+4),,9,"GOOD JUMPER by CORCORAN,CAILEE",CARTHAGE 13-9 (+4),,"GOOD JUMPER by CORCORAN,CAILEE",1,jumper,good,carthage (wis.),cailee corcoran,2,817
52,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,52,--,,,,,"ASSIST  by GROESSL,ALLISON",,,"ASSIST  by GROESSL,ALLISON",1,assist,,carthage (wis.),allison groessl,,
53,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,53,12:42,"MISS JUMPER by PREWITT,MAGGIE",,,,,,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,762
54,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,54,--,,,,,"REBOUND DEF by RIPKEY,DANI",,,"REBOUND DEF by RIPKEY,DANI",1,defensive rebound,,carthage (wis.),dani ripkey,,
55,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,55,11:42,"FOUL  by WINSTEAD,BRIDGET",,,,,,,"FOUL  by WINSTEAD,BRIDGET",1,foul,,Centre,bridget winstead,,702
56,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,56,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
57,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,57,11:42,,,,,"MISS FT by KUZMANIC,STEPHANIE",,,"MISS FT by KUZMANIC,STEPHANIE",1,free throw,missed,carthage (wis.),stephanie kuzmanic,,702
58,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,58,11:42,,13 (+3),,10,"GOOD FT by KUZMANIC,STEPHANIE",CARTHAGE 13-10 (+3),,"GOOD FT by KUZMANIC,STEPHANIE",1,free throw,good,carthage (wis.),stephanie kuzmanic,1,702
59,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,59,11:32,"MISS LAYUP by BENHAM,CHELSEA",,,,,,,"MISS LAYUP by BENHAM,CHELSEA",1,layup,missed,Centre,chelsea benham,,692
60,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,60,--,,,,,"REBOUND DEF by CORCORAN,CAILEE",,,"REBOUND DEF by CORCORAN,CAILEE",1,defensive rebound,,carthage (wis.),cailee corcoran,,
61,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,61,11:12,,13 (+1),,12,"GOOD JUMPER by CORCORAN,CAILEE",CARTHAGE 13-12 (+1),,"GOOD JUMPER by CORCORAN,CAILEE",1,jumper,good,carthage (wis.),cailee corcoran,2,672
62,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,62,11:05,"MISS 3PTR by GOATLEY,JANE",,,,,,,"MISS 3PTR by GOATLEY,JANE",1,three pointer,missed,Centre,jane goatley,,665
63,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,63,--,,,,,"REBOUND DEF by KUZMANIC,STEPHANIE",,,"REBOUND DEF by KUZMANIC,STEPHANIE",1,defensive rebound,,carthage (wis.),stephanie kuzmanic,,
64,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,64,10:52,,13,,14 (+1),"GOOD JUMPER by SCHMIDT,KRISTI(in the paint)",CARTHAGE 13-14 (-1),,"GOOD JUMPER by SCHMIDT,KRISTI(in the paint)",1,jumper,good,carthage (wis.),kristi schmidt,2,652
65,30,carthage,Centre (Ky.),Carthage (Wis.),61-71,61,71,"29, 32, 61","34, 37, 71",29,32,61,34,37,71,26-3,22-7,03/09/12,Lose,No Attendence Recorded,No Location Recorded,5:00 PM,A,65,10:43,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",15 (+1),,14,,CENTRE_W 15-14 (+1),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,643
