,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC_W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
41,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,41,14:34,,2,,11 (+9),"GOOD JUMPER by BAECHLE,PAIGE",CENTRE_W 2-11 (+9),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,874
42,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,42,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
43,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,43,14:31,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,871
44,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,44,14:31,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,871
45,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,45,14:08,"TURNOVER  by DAVIDSON,SAM",,,,,,,"TURNOVER  by DAVIDSON,SAM",1,turnover,,birmingham southern,sam davidson,,848
46,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,46,13:51,"SUB IN by SPURGIN,ASHTON",,,,,,,"SUB IN by SPURGIN,ASHTON",1,subbing in,,birmingham southern,ashton spurgin,,831
47,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,47,13:51,"SUB IN by STANLEY,STEPHANIE",,,,,,,"SUB IN by STANLEY,STEPHANIE",1,subbing in,,birmingham southern,stephanie stanley,,831
48,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,48,13:51,"SUB OUT by SHORT,MELANIE",,,,,,,"SUB OUT by SHORT,MELANIE",1,subbing out,,birmingham southern,melanie short,,831
49,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,49,13:51,"SUB OUT by DAVIDSON,SAM",,,,,,,"SUB OUT by DAVIDSON,SAM",1,subbing out,,birmingham southern,sam davidson,,831
50,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,50,13:49,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,829
51,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,51,--,"REBOUND DEF by SPURGIN,ASHTON",,,,,,,"REBOUND DEF by SPURGIN,ASHTON",1,defensive rebound,,birmingham southern,ashton spurgin,,
52,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,52,13:37,"GOOD 3PTR by KING,CAROLINE",5,,11 (+6),,BSC_W 5-11 (+6),,"GOOD 3PTR by KING,CAROLINE",1,three pointer,good,birmingham southern,caroline king,3,817
53,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,53,--,"ASSIST  by STANLEY,STEPHANIE",,,,,,,"ASSIST  by STANLEY,STEPHANIE",1,assist,,birmingham southern,stephanie stanley,,
54,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,54,13:17,"FOUL  by SPURGIN,ASHTON",,,,,,,"FOUL  by SPURGIN,ASHTON",1,foul,,birmingham southern,ashton spurgin,,797
55,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,55,13:17,,5,,12 (+7),"GOOD FT by PREWITT,MAGGIE",CENTRE_W 5-12 (+7),,"GOOD FT by PREWITT,MAGGIE",1,free throw,good,Centre,maggie prewitt,1,797
56,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,56,13:17,,5,,13 (+8),"GOOD FT by PREWITT,MAGGIE",CENTRE_W 5-13 (+8),,"GOOD FT by PREWITT,MAGGIE",1,free throw,good,Centre,maggie prewitt,1,797
57,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,57,13:17,,,,,"SUB IN by HUTER,LAUREN",,,"SUB IN by HUTER,LAUREN",1,subbing in,,Centre,lauren huter,,797
58,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,58,13:17,,,,,"SUB OUT by WEST,CAILYNN",,,"SUB OUT by WEST,CAILYNN",1,subbing out,,Centre,cailynn west,,797
59,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,59,13:03,"TURNOVER  by STANLEY,STEPHANIE",,,,,,,"TURNOVER  by STANLEY,STEPHANIE",1,turnover,,birmingham southern,stephanie stanley,,783
60,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,60,13:01,,,,,"STEAL  by PREWITT,MAGGIE",,,"STEAL  by PREWITT,MAGGIE",1,steal,,Centre,,,781
61,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,61,12:58,,5,,15 (+10),"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",CENTRE_W 5-15 (+10),,"GOOD LAYUP by PREWITT,MAGGIE(in the paint)",1,layup,good,Centre,maggie prewitt,2,778
62,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,62,12:36,,,,,"FOUL  by GOATLEY,JANE",,,"FOUL  by GOATLEY,JANE",1,foul,,Centre,jane goatley,,756
63,8,birmingham-southern,Birmingham Southern,Centre College,64-50,64,50,"32, 32, 64","21, 29, 50",32,32,64,21,29,50,"7-1, 3-0 SCAC","4-4, 1-1 SCAC",12/16/11,Win,186,No Location Recorded,6:00 AM,H,63,12:36,"GOOD FT by MOODY,KRISTIAN",6,,15 (+9),,BSC_W 6-15 (+9),,"GOOD FT by MOODY,KRISTIAN",1,free throw,good,birmingham southern,kristian moody,1,756
