,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,43,16:00,"SUB IN by MBENZA,NATASHA",,,,,,,"SUB IN by MBENZA,NATASHA",1,subbing in,,millsaps,natasha mbenza,,960
44,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,44,16:00,"SUB IN by PEREZ,SAMANTHA",,,,,,,"SUB IN by PEREZ,SAMANTHA",1,subbing in,,millsaps,samantha perez,,960
45,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,45,16:00,"SUB OUT by MORTON,SHANTE",,,,,,,"SUB OUT by MORTON,SHANTE",1,subbing out,,millsaps,shante morton,,960
46,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,46,16:00,"SUB OUT by OKEKE,JANICE",,,,,,,"SUB OUT by OKEKE,JANICE",1,subbing out,,millsaps,janice okeke,,960
47,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,47,16:00,"SUB OUT by WHITE,SHATOYA",,,,,,,"SUB OUT by WHITE,SHATOYA",1,subbing out,,millsaps,shatoya white,,960
48,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,48,16:00,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,960
49,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,49,16:00,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,960
50,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,50,16:00,,,,,"SUB OUT by BURKE,ALYSON",,,"SUB OUT by BURKE,ALYSON",1,subbing out,,Centre,alyson burke,,960
51,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,51,16:00,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,960
52,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,52,15:37,,,,,"FOUL  by HARTLAGE,MAGGIE",,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,937
