,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SAL,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,44,05:20,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,320
45,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,45,05:20,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,320
46,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,46,05:20,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,320
47,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,47,05:20,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,320
48,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,48,04:58,"SUB IN by MILLER,LARAMIE",,,,,,,"SUB IN by MILLER,LARAMIE",1,subbing in,,salem,laramie miller,,298
49,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,49,04:58,"SUB OUT by PENLEY,ELIZABETH",,,,,,,"SUB OUT by PENLEY,ELIZABETH",1,subbing out,,salem,elizabeth penley,,298
50,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,50,04:53,"GOOD LAYUP by SEIVERS,MIKAYLA(in the paint)",4,,12 (+8),,SAL 4-12 (+8),,"GOOD LAYUP by SEIVERS,MIKAYLA(in the paint)",1,layup,good,salem,mikayla seivers,2,293
51,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,51,--,"ASSIST  by WEBB,AALIYAH",,,,,,,"ASSIST  by WEBB,AALIYAH",1,assist,,salem,aaliyah webb,,
52,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,52,04:32,,4,,14 (+10),"GOOD LAYUP by JUDY,MICHELE(in the paint)",CENTRE-W 4-14 (+10),,"GOOD LAYUP by JUDY,MICHELE(in the paint)",1,layup,good,Centre,michele judy,2,272
53,11,salem,Salem,Centre,78-41,78,41,"20, 18, 25, 15, 78","11, 10, 11, 9, 41",20,18,25,15,78,11,10,11,9,41,2-9,2-9,12/30/15,Win,117,No Location Recorded,3:00 PM,H,53,--,,,,,"ASSIST  by GUY,ALEXIS",,,"ASSIST  by GUY,ALEXIS",1,assist,,Centre,alexis guy,,
