,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
40,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,40,06:55,"FOUL  by VANCE,DAY",,,,,,,"FOUL  by VANCE,DAY",1,foul,,Centre,day vance,,415
41,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,41,06:55,,6,,8 (+2),"GOOD FT by NASH,ALLISON",HANOVER 6-8 (-2),,"GOOD FT by NASH,ALLISON",1,free throw,good,hanover,allison nash,1,415
42,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,42,06:55,,,,,"SUB IN by MITCHELL,BAYLEE",,,"SUB IN by MITCHELL,BAYLEE",1,subbing in,,hanover,baylee mitchell,,415
43,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,43,06:55,,,,,"SUB IN by WALKER,MACY",,,"SUB IN by WALKER,MACY",1,subbing in,,hanover,macy walker,,415
44,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,44,06:55,,,,,"SUB OUT by NASH,ALLISON",,,"SUB OUT by NASH,ALLISON",1,subbing out,,hanover,allison nash,,415
45,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,45,06:55,,,,,"SUB OUT by MALLOY,ASHLEY",,,"SUB OUT by MALLOY,ASHLEY",1,subbing out,,hanover,ashley malloy,,415
46,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,46,06:48,"TURNOVER  by GUY,ALEXIS",,,,,,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,408
47,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,47,06:37,,,,,"TURNOVER  by MILLER,JULIA",,,"TURNOVER  by MILLER,JULIA",1,turnover,,hanover,julia miller,,397
48,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,48,06:33,,,,,"FOUL  by MILLER,JULIA",,,"FOUL  by MILLER,JULIA",1,foul,,hanover,julia miller,,393
49,9,hanover,Centre,Hanover,80-82,80,82,"23, 14, 13, 30, 80","20, 22, 22, 18, 82",23,14,13,30,80,20,22,22,18,82,1-8,4-4,12/19/15,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,A,49,06:33,,,,,"SUB IN by NASH,ALLISON",,,"SUB IN by NASH,ALLISON",1,subbing in,,hanover,allison nash,,393
