,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
33,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,33,05:43,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,343
34,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,34,05:43,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,343
35,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,35,05:32,"TURNOVER  by ANDREASSEN,CAROLINE",,,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,332
36,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,36,05:30,,,,,"STEAL  by BRYANT,YORISHA",,,"STEAL  by BRYANT,YORISHA",1,steal,,birmingham-southern,,,330
37,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,37,05:12,"FOUL  by JUDY,MICHELE",,,,,,,"FOUL  by JUDY,MICHELE",1,foul,,Centre,michele judy,,312
38,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,38,05:12,"SUB IN by RICE,MADISON",,,,,,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,312
39,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,39,05:12,"SUB OUT by GUY,ALEXIS",,,,,,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,312
40,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,40,05:09,,2,,4 (+2),"GOOD LAYUP by BRYANT,YORISHA(in the paint)",BSC 2-4 (-2),,"GOOD LAYUP by BRYANT,YORISHA(in the paint)",1,layup,good,birmingham-southern,yorisha bryant,2,309
41,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,41,--,,,,,"ASSIST  by HOLMES,JAMEICE",,,"ASSIST  by HOLMES,JAMEICE",1,assist,,birmingham-southern,jameice holmes,,
42,16,birmingham-southern,Centre,Birmingham-Southern,46-51,46,51,"7, 11, 10, 18, 46","11, 9, 16, 15, 51",7,11,10,18,46,11,9,16,15,51,"4-12, 2-3 SAA","14-1, 4-1 SAA",01/22/16,Lose,308,No Location Recorded,6:00 PM,A,42,05:09,"FOUL  by RICE,MADISON",,,,,,,"FOUL  by RICE,MADISON",1,foul,,Centre,madison rice,,309
