,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
38,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,38,04:47,,,,,"MISS JUMPER by GUY,ALEXIS",,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,287
39,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,39,--,"REBOUND DEF by BRYANT,YORISHA",,,,,,,"REBOUND DEF by BRYANT,YORISHA",1,defensive rebound,,birmingham-southern,yorisha bryant,,
40,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,40,04:30,"TURNOVER  by BATTS,JASMYNN",,,,,,,"TURNOVER  by BATTS,JASMYNN",1,turnover,,birmingham-southern,jasmynn batts,,270
41,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,41,04:28,,,,,"STEAL  by GUY,ALEXIS",,,"STEAL  by GUY,ALEXIS",1,steal,,Centre,,,268
42,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,42,04:14,"SUB IN by DIXON,JOTHANI",,,,,,,"SUB IN by DIXON,JOTHANI",1,subbing in,,birmingham-southern,jothani dixon,,254
43,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,43,04:14,"SUB OUT by CURRY,ASHLEY",,,,,,,"SUB OUT by CURRY,ASHLEY",1,subbing out,,birmingham-southern,ashley curry,,254
44,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,44,04:05,,,,,"MISS 3PTR by GUY,ALEXIS",,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,245
45,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,45,--,"REBOUND DEF by PEURSEM,LAURA VAN",,,,,,,"REBOUND DEF by PEURSEM,LAURA VAN",1,defensive rebound,,birmingham-southern,laura van peursem,,
46,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,46,04:00,"TURNOVER  by PEURSEM,LAURA VAN",,,,,,,"TURNOVER  by PEURSEM,LAURA VAN",1,turnover,,birmingham-southern,laura van peursem,,240
47,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,47,04:00,"FOUL  by PEURSEM,LAURA VAN",,,,,,,"FOUL  by PEURSEM,LAURA VAN",1,foul,,birmingham-southern,laura van peursem,,240
48,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,48,03:55,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,235
49,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,49,03:54,"STEAL  by PEURSEM,LAURA VAN",,,,,,,"STEAL  by PEURSEM,LAURA VAN",1,steal,,birmingham-southern,,,234
50,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,50,03:31,"MISS 3PTR by DIXON,JOTHANI",,,,,,,"MISS 3PTR by DIXON,JOTHANI",1,three pointer,missed,birmingham-southern,jothani dixon,,211
51,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,51,--,,,,,"REBOUND DEF by KELLAM,PAIGE",,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
52,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,52,03:23,"FOUL  by BRYANT,YORISHA",,,,,,,"FOUL  by BRYANT,YORISHA",1,foul,,birmingham-southern,yorisha bryant,,203
53,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,53,03:23,,,,,"SUB IN by RICE,MADISON",,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,203
54,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,54,03:23,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,203
55,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,55,03:18,,,,,"TURNOVER  by KELLAM,PAIGE",,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,198
56,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,56,03:16,"STEAL  by KNOWLES,HALLE",,,,,,,"STEAL  by KNOWLES,HALLE",1,steal,,birmingham-southern,,,196
57,20,birmingham-southern,Birmingham-Southern,Centre,51-67,51,67,"8, 14, 10, 19, 51","21, 12, 14, 20, 67",8,14,10,19,51,21,12,14,20,67,"5-15, 3-6 SAA","17-2, 7-2 SAA",02/05/16,Lose,507,No Location Recorded,6:00 PM,H,57,03:01,"MISS JUMPER by PEURSEM,LAURA VAN",,,,,,,"MISS JUMPER by PEURSEM,LAURA VAN",1,jumper,missed,birmingham-southern,laura van peursem,,181
