,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
40,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,40,04:43,,12 (+1),,11,"GOOD FT by DYSLIN,SARA",HC 12-11 (+1),,"GOOD FT by DYSLIN,SARA",1,free throw,good,hendrix,sara dyslin,1,283
41,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,41,04:43,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,283
42,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,42,04:43,"SUB IN by ANDREASSEN,CAROLINE",,,,,,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,283
43,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,43,04:43,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,283
44,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,44,04:43,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,283
45,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,45,04:43,,,,,"SUB IN by MARTIN,MADISON",,,"SUB IN by MARTIN,MADISON",1,subbing in,,hendrix,madison martin,,283
46,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,46,04:43,,,,,"SUB IN by FORBES,BREANN",,,"SUB IN by FORBES,BREANN",1,subbing in,,hendrix,breann forbes,,283
47,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,47,04:43,,,,,"SUB IN by SMITH,LEAH",,,"SUB IN by SMITH,LEAH",1,subbing in,,hendrix,leah smith,,283
48,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,48,04:43,,,,,"SUB OUT by PROWSE,HEATHER",,,"SUB OUT by PROWSE,HEATHER",1,subbing out,,hendrix,heather prowse,,283
49,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,49,04:43,,,,,"SUB OUT by FLORES,ESTRELLA",,,"SUB OUT by FLORES,ESTRELLA",1,subbing out,,hendrix,estrella flores,,283
50,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,50,04:43,,,,,"SUB OUT by KRIESEL-BIGLER,CAIT",,,"SUB OUT by KRIESEL-BIGLER,CAIT",1,subbing out,,hendrix,cait kriesel-bigler,,283
51,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,51,04:28,"GOOD JUMPER by JUDY,MICHELE",14 (+3),,11,,CENTREW 14-11 (+3),,"GOOD JUMPER by JUDY,MICHELE",1,jumper,good,Centre,michele judy,2,268
52,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,52,03:56,,,,,"MISS 3PTR by BODE,HAILEY",,,"MISS 3PTR by BODE,HAILEY",1,three pointer,missed,hendrix,hailey bode,,236
53,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,53,--,"REBOUND DEF by VANCE,DAY",,,,,,,"REBOUND DEF by VANCE,DAY",1,defensive rebound,,Centre,day vance,,
54,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,54,03:41,,,,,"FOUL  by FORBES,BREANN",,,"FOUL  by FORBES,BREANN",1,foul,,hendrix,breann forbes,,221
55,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,55,03:41,,,,,"SUB IN by KING,ANNA",,,"SUB IN by KING,ANNA",1,subbing in,,hendrix,anna king,,221
56,26,hendrix,Centre,Hendrix,56-54,56,54,"14, 9, 13, 20, 56","11, 12, 10, 21, 54",14,9,13,20,56,11,12,10,21,54,8-18,19-7,02/26/16,Win,232,No Location Recorded,6 p.m.,A,56,03:41,,,,,"SUB OUT by DYSLIN,SARA",,,"SUB OUT by DYSLIN,SARA",1,subbing out,,hendrix,sara dyslin,,221
