,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,43,05:40,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,340
44,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,44,05:40,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,340
45,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,45,05:40,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,340
46,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,46,05:40,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,340
47,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,47,05:40,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,340
48,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,48,05:35,"MISS 3PTR by ROSE,SAVANNAH",,,,,,,"MISS 3PTR by ROSE,SAVANNAH",1,three pointer,missed,sewanee,savannah rose,,335
49,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,49,--,"REBOUND OFF by O'CONNELL,OLIVIA",,,,,,,"REBOUND OFF by O'CONNELL,OLIVIA",1,offensive rebound,,sewanee,olivia o'connell,,
50,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,50,05:30,"TURNOVER  by O'CONNELL,OLIVIA",,,,,,,"TURNOVER  by O'CONNELL,OLIVIA",1,turnover,,sewanee,olivia o'connell,,330
51,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,51,05:18,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,318
52,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,52,05:16,"SUB IN by CHAUVIN,JAMIE",,,,,,,"SUB IN by CHAUVIN,JAMIE",1,subbing in,,sewanee,jamie chauvin,,316
53,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,53,05:16,"SUB OUT by CAULDER,COREY",,,,,,,"SUB OUT by CAULDER,COREY",1,subbing out,,sewanee,corey caulder,,316
54,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,54,05:04,"MISS 3PTR by WAYNE,KATIE",,,,,,,"MISS 3PTR by WAYNE,KATIE",1,three pointer,missed,sewanee,katie wayne,,304
55,12,sewanee,Sewanee,Centre,64-59,64,59,"17, 18, 12, 17, 64","8, 13, 18, 20, 59",17,18,12,17,64,8,13,18,20,59,"3-9, 1-0 SAA","8-4, 0-1 SAA",01/03/16,Win,215,No Location Recorded,1:00 PM,H,55,--,,,,,"REBOUND DEF by VANCE,DAY",,,"REBOUND DEF by VANCE,DAY",1,defensive rebound,,Centre,day vance,,
