,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,RCWBB13,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
41,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,41,--,"ASSIST  by BAECHLE,PAIGE",,,,,,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
42,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,42,14:34,"FOUL  by BENHAM,CHELSEA",,,,,,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,874
43,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,43,14:34,,,,,"MISS FT by BARBER,MARY",,,"MISS FT by BARBER,MARY",1,free throw,missed,rhodes,mary barber,,874
44,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,44,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
45,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,45,14:34,,11,,14 (+3),"GOOD FT by BARBER,MARY",RCWBB13 11-14 (-3),,"GOOD FT by BARBER,MARY",1,free throw,good,rhodes,mary barber,1,874
46,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,46,14:34,"SUB IN by MOORE,HILLARY",,,,,,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,874
47,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,47,14:34,"SUB IN by GUY,ALEXIS",,,,,,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,874
48,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,48,14:34,"SUB IN by STOUGH,MARY",,,,,,,"SUB IN by STOUGH,MARY",1,subbing in,,Centre,mary stough,,874
49,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,49,14:34,"SUB OUT by WINSTEAD,BRIDGET",,,,,,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,874
50,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,50,14:34,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,874
51,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,51,14:34,"SUB OUT by BENHAM,CHELSEA",,,,,,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,874
52,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,52,14:21,"TURNOVER  by GUY,ALEXIS",,,,,,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,861
53,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,53,14:21,,,,,"STEAL  by JOHNSON,SARAH",,,"STEAL  by JOHNSON,SARAH",1,steal,,rhodes,,,861
54,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,54,14:08,,11,,16 (+5),"GOOD JUMPER by GOODRUM,NATALIE",RCWBB13 11-16 (-5),,"GOOD JUMPER by GOODRUM,NATALIE",1,jumper,good,rhodes,natalie goodrum,2,848
55,24,rhodes,CENTREW,Rhodes,69-65,69,65,"39, 30, 69","36, 29, 65",39,30,69,36,29,65,"14-10, 12-2","21-3, 12-2",02/17/13,Win,213,No Location Recorded,1:00 PM,A,55,13:49,"GOOD 3PTR by MOORE,HILLARY",14,,16 (+2),,CENTREW 14-16 (-2),,"GOOD 3PTR by MOORE,HILLARY",1,three pointer,good,Centre,hillary moore,3,829
