,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CALVINW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
49,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,49,15:13,"SUB OUT by BENHAM,CHELSEA",,,,,,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,913
50,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,50,15:13,"SUB OUT by MIRE,JENNA",,,,,,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,913
51,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,51,15:13,,,,,"SUB IN by IRWIN,KELSEY",,,"SUB IN by IRWIN,KELSEY",1,subbing in,,calvin,kelsey irwin,,913
52,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,52,15:13,,,,,"SUB IN by MARSH,LOGAN",,,"SUB IN by MARSH,LOGAN",1,subbing in,,calvin,logan marsh,,913
53,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,53,15:13,,,,,"SUB IN by HILBRANDS,JULIA",,,"SUB IN by HILBRANDS,JULIA",1,subbing in,,calvin,julia hilbrands,,913
54,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,54,15:13,,,,,"SUB OUT by TRIPP,KIRSTIN",,,"SUB OUT by TRIPP,KIRSTIN",1,subbing out,,calvin,kirstin tripp,,913
55,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,55,15:13,,,,,"SUB OUT by VERKAIK,BREANNA",,,"SUB OUT by VERKAIK,BREANNA",1,subbing out,,calvin,breanna verkaik,,913
56,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,56,15:13,,,,,"SUB OUT by WOLFFIS,ALLY",,,"SUB OUT by WOLFFIS,ALLY",1,subbing out,,calvin,ally wolffis,,913
57,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,57,14:59,,4,,9 (+5),"GOOD 3PTR by IRWIN,KELSEY",CALVINW 4-9 (-5),,"GOOD 3PTR by IRWIN,KELSEY",1,three pointer,good,calvin,kelsey irwin,3,899
58,5,calvin,Centre,Calvin,48-76,48,76,"19, 29, 48","34, 42, 76",19,29,48,34,42,76,1-4,4-1,11/24/12,Lose,167,No Location Recorded,3 p.m.,A,58,--,,,,,"ASSIST  by ENGELHARD,KAYLA",,,"ASSIST  by ENGELHARD,KAYLA",1,assist,,calvin,kayla engelhard,,
