,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
48,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,48,15:18,"GOOD FT by MOORE,HILLARY",12 (+6),,6,,CENTRE_W 12-6 (+6),,"GOOD FT by MOORE,HILLARY",1,free throw,good,Centre,hillary moore,1,918
49,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,49,14:53,,,,,"MISS 3PTR by BARBEE,TRENIA",,,"MISS 3PTR by BARBEE,TRENIA",1,three pointer,missed,asbury (ky.),trenia barbee,,893
50,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,50,--,,,,,"REBOUND OFF by GORBY,KYLEE",,,"REBOUND OFF by GORBY,KYLEE",1,offensive rebound,,asbury (ky.),kylee gorby,,
51,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,51,14:50,,12 (+4),,8,"GOOD JUMPER by GORBY,KYLEE(in the paint)",AC 12-8 (+4),,"GOOD JUMPER by GORBY,KYLEE(in the paint)",1,jumper,good,asbury (ky.),kylee gorby,2,890
52,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,52,14:37,"MISS 3PTR by MOORE,HILLARY",,,,,,,"MISS 3PTR by MOORE,HILLARY",1,three pointer,missed,Centre,hillary moore,,877
53,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,53,--,,,,,"REBOUND DEF by RINEHART,KELLI",,,"REBOUND DEF by RINEHART,KELLI",1,defensive rebound,,asbury (ky.),kelli rinehart,,
54,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,54,14:20,,12 (+2),,10,"GOOD JUMPER by RINEHART,KELLI",AC 12-10 (+2),,"GOOD JUMPER by RINEHART,KELLI",1,jumper,good,asbury (ky.),kelli rinehart,2,860
55,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,55,--,,,,,"ASSIST  by DOWNS,DORIAN",,,"ASSIST  by DOWNS,DORIAN",1,assist,,asbury (ky.),dorian downs,,
56,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,56,13:54,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",14 (+4),,10,,CENTRE_W 14-10 (+4),,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",1,jumper,good,Centre,paige baechle,2,834
57,9,asbury,Centre College,Asbury (Ky.),72-77,72,77,"40, 32, 72","46, 31, 77",40,32,72,46,31,77,3-6,110-3,12/13/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,57,--,"ASSIST  by STOUGH,MARY",,,,,,,"ASSIST  by STOUGH,MARY",1,assist,,Centre,mary stough,,
