,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,34,15:08,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,908
35,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,35,--,"REBOUND DEF by SHORT,MELANIE",,,,,,,"REBOUND DEF by SHORT,MELANIE",1,defensive rebound,,birmingham-southern,melanie short,,
36,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,36,14:48,,,,,"SUB IN by STOUGH,MARY",,,"SUB IN by STOUGH,MARY",1,subbing in,,Centre,mary stough,,888
37,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,37,14:48,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,888
38,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,38,14:44,"MISS 3PTR by SHORT,MELANIE",,,,,,,"MISS 3PTR by SHORT,MELANIE",1,three pointer,missed,birmingham-southern,melanie short,,884
39,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,39,--,,,,,"REBOUND DEF by MOORE,HILLARY",,,"REBOUND DEF by MOORE,HILLARY",1,defensive rebound,,Centre,hillary moore,,
40,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,40,14:31,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,871
41,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,41,--,"REBOUND DEF by BROMIRSKI,ELIZABETH",,,,,,,"REBOUND DEF by BROMIRSKI,ELIZABETH",1,defensive rebound,,birmingham-southern,elizabeth bromirski,,
42,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,42,14:09,"GOOD JUMPER by SHORT,MELANIE",8,,9 (+1),,BSC 8-9 (+1),,"GOOD JUMPER by SHORT,MELANIE",1,jumper,good,birmingham-southern,melanie short,2,849
43,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,43,13:49,,,,,"MISS JUMPER by MOORE,HILLARY",,,"MISS JUMPER by MOORE,HILLARY",1,jumper,missed,Centre,hillary moore,,829
