,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,SUWB,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,35,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
36,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,36,15:15,"TURNOVER  by GUY,ALANNA",,,,,,,"TURNOVER  by GUY,ALANNA",1,turnover,,cetre college,alanna guy,,915
37,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,37,15:12,,,,,"TURNOVER  by HARROD,KELLY",,,"TURNOVER  by HARROD,KELLY",1,turnover,,Centre,kelly harrod,,912
38,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,38,15:00,"GOOD JUMPER by MOORE,HILLARY",7 (+4),,3,,CENTRE 7-3 (+4),,"GOOD JUMPER by MOORE,HILLARY",1,jumper,good,cetre college,hillary moore,2,900
39,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,39,--,"ASSIST  by GUY,ALANNA",,,,,,,"ASSIST  by GUY,ALANNA",1,assist,,cetre college,alanna guy,,
40,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,40,14:57,"SUB IN by STOUGH,MARY",,,,,,,"SUB IN by STOUGH,MARY",1,subbing in,,cetre college,mary stough,,897
41,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,41,14:57,"SUB IN by MOORE,HILLARY",,,,,,,"SUB IN by MOORE,HILLARY",1,subbing in,,cetre college,hillary moore,,897
42,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,42,14:57,"SUB OUT by BAECHLE,PAIGE",,,,,,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,cetre college,paige baechle,,897
43,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,43,14:57,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,cetre college,maggie hartlage,,897
44,8,spalding,Cetre College,Spalding,70-76,70,76,"22, 32, 9, 7, 70","36, 18, 9, 13, 76",22,32,9,7,70,36,18,9,13,76,2-2,2-7,12/11/12,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,44,14:57,,,,,"SUB IN by SMITH,JAZMIN",,,"SUB IN by SMITH,JAZMIN",1,subbing in,,Centre,jazmin smith,,897
