,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
49,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,49,14:57,,5,,10 (+5),"GOOD FT by MOORE,ERIN",BSC 5-10 (-5),,"GOOD FT by MOORE,ERIN",1,free throw,good,birmingham-southern,erin moore,1,897
50,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,50,14:57,,,,,"SUB IN by ADAMS,ALEX",,,"SUB IN by ADAMS,ALEX",1,subbing in,,birmingham-southern,alex adams,,897
51,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,51,14:57,,,,,"SUB OUT by DARNALL,SYDNEY",,,"SUB OUT by DARNALL,SYDNEY",1,subbing out,,birmingham-southern,sydney darnall,,897
52,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,52,14:41,"MISS LAYUP by BAECHLE,PAIGE",,,,,,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,881
53,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,53,--,,,,,"REBOUND DEF by MOORE,ERIN",,,"REBOUND DEF by MOORE,ERIN",1,defensive rebound,,birmingham-southern,erin moore,,
54,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,54,14:28,,5,,12 (+7),"GOOD LAYUP by ADAMS,ALEX(in the paint)",BSC 5-12 (-7),,"GOOD LAYUP by ADAMS,ALEX(in the paint)",1,layup,good,birmingham-southern,alex adams,2,868
55,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,55,14:20,"TURNOVER  by WINSTEAD,MARY",,,,,,,"TURNOVER  by WINSTEAD,MARY",1,turnover,,Centre,mary winstead,,860
56,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,56,14:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,860
57,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,57,14:07,,5,,15 (+10),"GOOD 3PTR by KING,CAROLINE",BSC 5-15 (-10),,"GOOD 3PTR by KING,CAROLINE",1,three pointer,good,birmingham-southern,caroline king,3,847
58,13,birmingham-southern,Centre,Birmingham-Southern,67-66,67,66,"30, 37, 67","36, 30, 66",30,37,67,36,30,66,"3-9, 1-1 SAA","5-7, 1-1 SAA",01/06/13,Win,No Attendence Recorded,No Location Recorded,1:00 PM,A,58,--,,,,,"ASSIST  by BROWN,KELSEY",,,"ASSIST  by BROWN,KELSEY",1,assist,,birmingham-southern,kelsey brown,,
