,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE~2,Away Team Score,Play Team Indicator,Home Team Score,MCWB,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
40,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,40,16:31,"TURNOVER  by WINSTEAD,MARY",,,,,,,"TURNOVER  by WINSTEAD,MARY",1,turnover,,Centre,mary winstead,,991
41,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,41,16:31,,,,,"SUB IN by ROBERSON,MAKAYLA",,,"SUB IN by ROBERSON,MAKAYLA",1,subbing in,,millsaps,makayla roberson,,991
42,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,42,16:31,,,,,"SUB IN by MORGAN,VICTORIA",,,"SUB IN by MORGAN,VICTORIA",1,subbing in,,millsaps,victoria morgan,,991
43,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,43,16:31,,,,,"SUB IN by PEREZ,SAMANTHA",,,"SUB IN by PEREZ,SAMANTHA",1,subbing in,,millsaps,samantha perez,,991
44,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,44,16:31,,,,,"SUB OUT by BROOKS,MIAH",,,"SUB OUT by BROOKS,MIAH",1,subbing out,,millsaps,miah brooks,,991
45,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,45,16:31,,,,,"SUB OUT by LOVE,LOVIE",,,"SUB OUT by LOVE,LOVIE",1,subbing out,,millsaps,lovie love,,991
46,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,46,16:31,,,,,"SUB OUT by WHITE,SHATOYA",,,"SUB OUT by WHITE,SHATOYA",1,subbing out,,millsaps,shatoya white,,991
47,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,47,16:17,,,,,"FOUL  by MORGAN,VICTORIA",,,"FOUL  by MORGAN,VICTORIA",1,foul,,millsaps,victoria morgan,,977
48,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,48,16:17,,,,,"SUB IN by BROOKS,MIAH",,,"SUB IN by BROOKS,MIAH",1,subbing in,,millsaps,miah brooks,,977
49,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,49,16:17,,,,,"SUB OUT by MORGAN,VICTORIA",,,"SUB OUT by MORGAN,VICTORIA",1,subbing out,,millsaps,victoria morgan,,977
50,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,50,16:07,"TURNOVER  by BENHAM,CHELSEA",,,,,,,"TURNOVER  by BENHAM,CHELSEA",1,turnover,,Centre,chelsea benham,,967
51,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,51,15:45,,,,,"MISS JUMPER by EARL,BRITTNEI",,,"MISS JUMPER by EARL,BRITTNEI",1,jumper,missed,millsaps,brittnei earl,,945
52,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,52,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
53,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,53,15:40,,,,,"SUB IN by MORGAN,VICTORIA",,,"SUB IN by MORGAN,VICTORIA",1,subbing in,,millsaps,victoria morgan,,940
54,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,54,15:40,,,,,"SUB IN by HOLMES,BEVERLY",,,"SUB IN by HOLMES,BEVERLY",1,subbing in,,millsaps,beverly holmes,,940
55,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,55,15:40,,,,,"SUB IN by WHITE,SHATOYA",,,"SUB IN by WHITE,SHATOYA",1,subbing in,,millsaps,shatoya white,,940
56,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,56,15:40,,,,,"SUB OUT by EARL,BRITTNEI",,,"SUB OUT by EARL,BRITTNEI",1,subbing out,,millsaps,brittnei earl,,940
57,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,57,15:40,,,,,"SUB OUT by JOHNSON,VELVET",,,"SUB OUT by JOHNSON,VELVET",1,subbing out,,millsaps,velvet johnson,,940
58,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,58,15:40,,,,,"SUB OUT by PEREZ,SAMANTHA",,,"SUB OUT by PEREZ,SAMANTHA",1,subbing out,,millsaps,samantha perez,,940
59,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,59,15:12,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",7,,8 (+1),,CENTRE~2 7-8 (-1),,"GOOD LAYUP by BENHAM,CHELSEA(in the paint)",1,layup,good,Centre,chelsea benham,2,912
60,12,millsaps,CENTRE~2,MILLSAPS,57-63,57,63,"28, 29, 57","28, 35, 63",28,29,57,28,35,63,3-8,4-7,01/04/13,Lose,No Attendence Recorded,No Location Recorded,7:00 PM,A,60,--,"ASSIST  by BAECHLE,PAIGE",,,,,,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
