,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
37,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,37,16:14,,,,,"SUB IN by SANTAMARIA,ALEXA",,,"SUB IN by SANTAMARIA,ALEXA",1,subbing in,,thomas more,alexa santamaria,,974
38,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,38,16:14,,,,,"SUB OUT by GAINES,NAKHARRA",,,"SUB OUT by GAINES,NAKHARRA",1,subbing out,,thomas more,nakharra gaines,,974
39,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,39,16:14,,,,,"SUB OUT by BRUNSMAN,JILL",,,"SUB OUT by BRUNSMAN,JILL",1,subbing out,,thomas more,jill brunsman,,974
40,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,40,15:51,,,,,"MISS 3PTR by KITCHEN,KATIE",,,"MISS 3PTR by KITCHEN,KATIE",1,three pointer,missed,thomas more,katie kitchen,,951
41,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,41,--,,,,,"REBOUND OFF by SANTAMARIA,ALEXA",,,"REBOUND OFF by SANTAMARIA,ALEXA",1,offensive rebound,,thomas more,alexa santamaria,,
42,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,42,15:48,"FOUL  by MOORE,HILLARY",,,,,,,"FOUL  by MOORE,HILLARY",1,foul,,Centre,hillary moore,,948
43,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,43,15:46,,,,,"MISS JUMPER by LONG,ALLISON",,,"MISS JUMPER by LONG,ALLISON",1,jumper,missed,thomas more,allison long,,946
44,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,44,--,,,,,"REBOUND OFF by SANTAMARIA,ALEXA",,,"REBOUND OFF by SANTAMARIA,ALEXA",1,offensive rebound,,thomas more,alexa santamaria,,
45,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,45,15:32,,,,,"TURNOVER  by KITCHEN,KATIE",,,"TURNOVER  by KITCHEN,KATIE",1,turnover,,thomas more,katie kitchen,,932
46,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,46,15:22,"TURNOVER  by MOORE,HILLARY",,,,,,,"TURNOVER  by MOORE,HILLARY",1,turnover,,Centre,hillary moore,,922
