Play Type,Shot Outcome,Shot Clock,Team,Time(seconds)
layup,missed,26.0,Centre,350.0
layup,good,27.0,Centre,301.0
layup,missed,27.0,Centre,284.0
layup,good,22.0,Centre,276.0
layup,missed,15.0,methodist,261.0
jumper,missed,15.0,Centre,246.0
jumper,missed,14.0,methodist,215.0
jumper,missed,9.0,Centre,194.0
layup,missed,15.0,methodist,179.0
layup,good,28.0,methodist,169.0
three pointer,good,18.0,methodist,130.0
jumper,missed,21.0,Centre,121.0
three pointer,missed,14.0,methodist,105.0
jumper,missed,24.0,Centre,99.0
three pointer,good,26.0,Centre,65.0
layup,missed,21.0,Centre,21.0
jumper,missed,7.0,methodist,7.0
three pointer,missed,583.0,Centre,596.0
jumper,good,0.0,methodist,566.0
layup,missed,17.0,methodist,527.0
jumper,good,16.0,Centre,496.0
layup,good,13.0,methodist,479.0
layup,missed,16.0,Centre,461.0
jumper,missed,27.0,Centre,455.0
jumper,missed,14.0,methodist,439.0
layup,good,16.0,Centre,425.0
three pointer,missed,11.0,methodist,406.0
three pointer,missed,25.0,methodist,398.0
layup,missed,6.0,Centre,374.0
layup,missed,17.0,methodist,361.0
jumper,good,21.0,Centre,352.0
layup,missed,27.0,methodist,303.0
jumper,missed,13.0,Centre,286.0
layup,missed,23.0,methodist,279.0
layup,missed,23.0,methodist,259.0
jumper,missed,11.0,methodist,186.0
layup,missed,9.0,Centre,165.0
jumper,good,14.0,methodist,149.0
three pointer,missed,17.0,methodist,115.0
jumper,missed,19.0,Centre,100.0
jumper,missed,16.0,methodist,69.0
jumper,good,27.0,methodist,27.0
three pointer,missed,14.0,piedmont,584.0
three pointer,good,24.0,piedmont,578.0
jumper,missed,28.0,piedmont,563.0
jumper,missed,7.0,piedmont,540.0
jumper,good,13.0,Centre,523.0
jumper,good,11.0,piedmont,504.0
three pointer,missed,11.0,piedmont,473.0
layup,missed,26.0,piedmont,469.0
jumper,missed,5.0,Centre,444.0
layup,missed,24.0,Centre,438.0
three pointer,missed,26.0,piedmont,428.0
layup,good,26.0,piedmont,424.0
layup,good,19.0,Centre,413.0
three pointer,missed,14.0,piedmont,397.0
layup,missed,13.0,Centre,330.0
three pointer,missed,23.0,piedmont,323.0
three pointer,missed,7.0,piedmont,268.0
jumper,missed,22.0,piedmont,241.0
three pointer,missed,17.0,Centre,228.0
three pointer,missed,19.0,piedmont,217.0
jumper,good,11.0,Centre,198.0
layup,missed,13.0,piedmont,181.0
jumper,good,23.0,piedmont,174.0
layup,good,9.0,Centre,153.0
layup,missed,2.0,piedmont,125.0
three pointer,good,16.0,Centre,111.0
layup,missed,6.0,piedmont,87.0
jumper,good,21.0,Centre,78.0
three pointer,missed,29.0,piedmont,47.0
three pointer,good,28.0,piedmont,35.0
jumper,good,13.0,Centre,13.0
three pointer,missed,0.0,piedmont,0.0
three pointer,missed,12.0,Centre,582.0
three pointer,good,19.0,piedmont,571.0
jumper,good,10.0,Centre,551.0
jumper,good,27.0,piedmont,533.0
layup,good,23.0,piedmont,487.0
three pointer,missed,16.0,Centre,473.0
layup,missed,12.0,piedmont,451.0
three pointer,missed,25.0,piedmont,446.0
layup,missed,14.0,piedmont,401.0
jumper,missed,19.0,Centre,390.0
layup,good,19.0,piedmont,379.0
layup,good,12.0,Centre,331.0
three pointer,missed,11.0,piedmont,312.0
jumper,missed,12.0,piedmont,265.0
layup,missed,24.0,Centre,259.0
jumper,good,24.0,Centre,223.0
layup,good,10.0,piedmont,203.0
three pointer,missed,7.0,piedmont,142.0
jumper,missed,16.0,Centre,128.0
layup,missed,25.0,Centre,123.0
three pointer,good,22.0,Centre,104.0
three pointer,missed,11.0,piedmont,85.0
layup,good,25.0,piedmont,59.0
three pointer,missed,14.0,piedmont,14.0
three pointer,missed,3.0,Centre,3.0
jumper,missed,1.0,Centre,529.0
three pointer,missed,26.0,piedmont,516.0
jumper,missed,0.0,Centre,486.0
layup,good,13.0,piedmont,469.0
layup,good,21.0,Centre,447.0
jumper,good,10.0,piedmont,427.0
jumper,good,25.0,piedmont,411.0
jumper,missed,29.0,Centre,380.0
three pointer,missed,22.0,piedmont,372.0
jumper,good,13.0,Centre,348.0
layup,missed,17.0,piedmont,335.0
jumper,missed,22.0,Centre,327.0
layup,missed,23.0,piedmont,300.0
three pointer,good,16.0,piedmont,286.0
three pointer,missed,17.0,piedmont,258.0
jumper,good,10.0,Centre,238.0
three pointer,good,17.0,piedmont,225.0
jumper,missed,19.0,piedmont,204.0
layup,good,26.0,piedmont,200.0
jumper,missed,6.0,piedmont,156.0
jumper,missed,13.0,Centre,139.0
jumper,missed,12.0,piedmont,115.0
three pointer,missed,26.0,piedmont,98.0
three pointer,missed,8.0,Centre,76.0
three pointer,missed,15.0,piedmont,61.0
jumper,good,21.0,Centre,36.0
jumper,missed,0.0,piedmont,0.0
three pointer,missed,5.0,piedmont,575.0
jumper,missed,3.0,Centre,548.0
