,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Cent,Away Team Score,Play Team Indicator,Home Team Score,Berea,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
36,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,36,17:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,1052
37,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,37,17:13,"MISS 3PTR by RHULE,BONNIE",,,,,,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,1033
38,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,38,--,,,,,"REBOUND DEF by CALHOUN,ALEXUS",,,"REBOUND DEF by CALHOUN,ALEXUS",1,defensive rebound,,berea college,alexus calhoun,,
39,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,39,17:05,,,,,"MISS 2PTR by CALHOUN,ALEXUS",,,"MISS 2PTR by CALHOUN,ALEXUS",1,two pointer,miss,berea college,,,1025
40,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,40,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
41,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,41,16:58,"GOOD 2PTR by GUY,ALEXIS",2,,6 (+4),,Cent 2-6 (-4),,"GOOD 2PTR by GUY,ALEXIS",1,two pointer,good,Centre,,2,1018
42,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,42,16:41,,,,,"MISS 2PTR by WILLIAMS,ADRIANA",,,"MISS 2PTR by WILLIAMS,ADRIANA",1,two pointer,miss,berea college,,,1001
43,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,43,--,"REBOUND DEF by JUDY,MICHELLE",,,,,,,"REBOUND DEF by JUDY,MICHELLE",1,defensive rebound,,Centre,michelle judy,,
44,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,44,16:31,"GOOD 2PTR by COLLIVER,OLIVIA",4,,6 (+2),,Cent 4-6 (-2),,"GOOD 2PTR by COLLIVER,OLIVIA",1,two pointer,good,Centre,,2,991
45,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,45,--,"ASSIST  by HARTLAGE,MAGGIE",,,,,,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
46,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,46,16:06,,,,,"MISS 2PTR by WARREN,JOHNESHA",,,"MISS 2PTR by WARREN,JOHNESHA",1,two pointer,miss,berea college,,,966
47,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,47,--,,,,,"REBOUND OFF by SHEAD,RAYVEN",,,"REBOUND OFF by SHEAD,RAYVEN",1,offensive rebound,,berea college,rayven shead,,
48,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,48,16:05,,4,,8 (+4),"GOOD 2PTR by SHEAD,RAYVEN",Berea 4-8 (-4),,"GOOD 2PTR by SHEAD,RAYVEN",1,two pointer,good,berea college,,2,965
49,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,49,16:05,"FOUL PERSONAL by JUDY,MICHELLE",,,,,,,"FOUL PERSONAL by JUDY,MICHELLE",1,foul,,Centre,michelle judy,,965
50,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,50,16:05,,,,,"SUB IN by SMALL,ZACCHEA",,,"SUB IN by SMALL,ZACCHEA",1,subbing in,,berea college,zacchea small,,965
51,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,51,16:05,,,,,"SUB OUT by CALHOUN,ALEXUS",,,"SUB OUT by CALHOUN,ALEXUS",1,subbing out,,berea college,alexus calhoun,,965
52,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,52,16:05,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,965
53,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,53,16:05,"SUB OUT by RHULE,BONNIE",,,,,,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,965
54,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,54,16:05,"SUB IN by MCKNIGHT,KAITLYN",,,,,,,"SUB IN by MCKNIGHT,KAITLYN",1,subbing in,,Centre,kaitlyn mcknight,,965
55,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,55,16:05,"SUB OUT by JUDY,MICHELLE",,,,,,,"SUB OUT by JUDY,MICHELLE",1,subbing out,,Centre,michelle judy,,965
56,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,56,16:05,,,,,"MISS FT by SHEAD,RAYVEN",,,"MISS FT by SHEAD,RAYVEN",1,free throw,missed,berea college,rayven shead,,965
57,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,57,--,"REBOUND DEF by COLLIVER,OLIVIA",,,,,,,"REBOUND DEF by COLLIVER,OLIVIA",1,defensive rebound,,Centre,olivia colliver,,
58,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,58,15:53,"MISS 3PTR by COLLIVER,OLIVIA",,,,,,,"MISS 3PTR by COLLIVER,OLIVIA",1,three pointer,missed,Centre,olivia colliver,,953
59,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,59,--,,,,,"REBOUND DEF by SHEAD,RAYVEN",,,"REBOUND DEF by SHEAD,RAYVEN",1,defensive rebound,,berea college,rayven shead,,
60,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,60,15:43,,,,,"MISS 2PTR by ROBERTS,JAMIE",,,"MISS 2PTR by ROBERTS,JAMIE",1,two pointer,miss,berea college,,,943
61,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,61,--,,,,,"REBOUND OFF by ROBERTS,JAMIE",,,"REBOUND OFF by ROBERTS,JAMIE",1,offensive rebound,,berea college,jamie roberts,,
62,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,62,15:36,,4,,10 (+6),"GOOD 2PTR by WILLIAMS,ADRIANA",Berea 4-10 (-6),,"GOOD 2PTR by WILLIAMS,ADRIANA",1,two pointer,good,berea college,,2,936
63,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,63,--,,,,,"ASSIST  by WARREN,JOHNESHA",,,"ASSIST  by WARREN,JOHNESHA",1,assist,,berea college,johnesha warren,,
64,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,64,15:18,"TURNOVER  by MCKNIGHT,KAITLYN",,,,,,,"TURNOVER  by MCKNIGHT,KAITLYN",1,turnover,,Centre,kaitlyn mcknight,,918
65,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,65,15:18,,,,,"STEAL  by ROBERTS,JAMIE",,,"STEAL  by ROBERTS,JAMIE",1,steal,,berea college,,,918
66,5,berea,Centre College,Berea College,48-62,48,62,"16, 32, 48","38, 24, 62",16,32,48,38,24,62,2-3,3-4,12/03/14,Lose,No Attendence Recorded,No Location Recorded,7:30 PM,A,66,15:11,,4,,12 (+8),"GOOD 2PTR by WILLIAMS,ADRIANA",Berea 4-12 (-8),,"GOOD 2PTR by WILLIAMS,ADRIANA",1,two pointer,good,berea college,,2,911
